assay,ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,diffexpressed,cluster,pos_avgLFC,avg_LFC,gene
T Cells,HLA-DRB5,-2.967715211373454,5.557420245454282,-3.849713872677075,6.893348602173203e-4,0.010757521118953263,-0.33142937194380906,-3.3937862027877,NS,Good_T Cells,-2.631906920026284,-1.9739301900197128,HLA-DRB5
MONO,HLA-DRB5,-3.456700750566969,7.54145743996542,-3.7871940483324256,7.560247835006436e-4,0.011197964768495838,-0.6322923959814153,-3.3684121785757566,NS,Good_MONO,-2.631906920026284,-1.9739301900197128,HLA-DRB5
Myeloid,HLA-DRB5,-1.4713047981384282,7.282220226932126,-1.3580639539163808,0.18424400586306525,0.35018730740817755,-5.406471916675516,-1.3278005480405335,NS,Good_Myeloid,-2.631906920026284,-1.9739301900197128,HLA-DRB5
NEUT,CXCL2,-3.2515476696993675,7.290868569294093,-4.916696095327053,4.4355541759031426e-5,0.002570942481745434,1.867083387587213,-4.083536064519297,NS,Good_NEUT,-2.3487151472197945,-1.7615363604148457,CXCL2
Myeloid,CXCL2,-2.15415541842932,1.1841220271230568,-2.9159975518668477,0.01440665565815544,0.06599860817503951,-2.4831132876298834,-2.4469606758196836,NS,Good_Myeloid,-2.3487151472197945,-1.7615363604148457,CXCL2
MONO,CXCL2,-1.6404423535306956,7.703611955779788,-2.0837966909920707,0.04644828172342742,0.1416700800293125,-4.235430557834624,-1.9912966665956768,NS,Good_MONO,-2.3487151472197945,-1.7615363604148457,CXCL2
Myeloid,CD52,-3.639185636654331,0.9983745809621929,-4.738476065457929,7.807413876656875e-5,0.0033181992277372253,2.0277346770108906,-3.950236102112311,NS,Good_Myeloid,-1.6364859763088209,-1.6364859763088209,CD52
MONO,CD52,-2.191051020982856,8.957983317899757,-3.9853028873904526,9.911655478468254e-4,0.013153195689635576,-0.2293823695509234,-3.293022464854049,NS,Good_MONO,-1.6364859763088209,-1.6364859763088209,CD52
NEUT,CD52,-0.6952054462192407,10.198204883022399,-1.8619743228726267,0.0745231330924489,0.19307988090431263,-4.789523376356889,-1.783388197848008,NS,Good_NEUT,-1.6364859763088209,-1.6364859763088209,CD52
T Cells,CD52,-0.020501801378856044,10.469065718861076,-0.08956717051589155,0.92917629131807,0.9593921462951007,-6.430450729131623,-0.08888124192522216,NS,Good_T Cells,-1.6364859763088209,-1.6364859763088209,CD52
MONO,AREG,-2.544343442648641,7.938605624796857,-4.288579879348148,7.256504350121506e-4,0.010977638680607889,0.6180670965322612,-3.3796997957761525,NS,Good_MONO,-1.5661270531943337,-1.5661270531943337,AREG
Myeloid,AREG,-2.3719457972555915,1.766229263547152,-2.352200241678538,0.025106204221502473,0.09399715185134243,-3.7617685031041623,-2.239764676563571,NS,Good_Myeloid,-1.5661270531943337,-1.5661270531943337,AREG
NEUT,AREG,-0.846732779805202,8.596892266883588,-1.5276799482480115,0.1423063940716467,0.2951728155072424,-5.376297772231457,-1.467256125691424,NS,Good_NEUT,-1.5661270531943337,-1.5661270531943337,AREG
T Cells,AREG,-0.5014861930679002,7.673066902604908,-0.9444530378683895,0.3536600383790952,0.5342400442938282,-5.857286015084887,-0.9275133986918033,NS,Good_T Cells,-1.5661270531943337,-1.5661270531943337,AREG
NEUT,SPP1,-3.050572839877578,9.605009533362654,-3.8875121870996794,6.182975237872877e-4,0.010098554674756573,-0.5615205298387007,-3.4234582341631294,NS,Good_NEUT,-1.546084610289511,-1.546084610289511,SPP1
T Cells,SPP1,-2.330652032145571,10.655188187001908,-2.8232583336166264,0.008021664005712071,0.04524709176977364,-2.8684737404783354,-2.6511565945025204,NS,Good_T Cells,-1.546084610289511,-1.546084610289511,SPP1
MONO,SPP1,-0.3420713975751042,11.51231740277137,-0.5900262702862266,0.5596204168889878,0.7094690240545314,-6.485036459904863,-0.5834054098024178,NS,Good_MONO,-1.546084610289511,-1.546084610289511,SPP1
Myeloid,SPP1,-0.4610421715597912,13.935758484063108,-0.568201267206023,0.5742352729078564,0.720428572032912,-6.0988903677485355,-0.5618249768666482,NS,Good_Myeloid,-1.546084610289511,-1.546084610289511,SPP1
NEUT,ALOX5AP,-3.411910023305418,6.947907164899715,-5.310492816957931,5.485316791250347e-5,0.0028433513001030557,2.951921234712165,-4.03392356226135,NS,Good_NEUT,-1.4877722236680002,-1.4877722236680002,ALOX5AP
T Cells,ALOX5AP,-0.9988242306476112,9.057276246493926,-3.57215519902501,0.0011329837927401317,0.014302445727122881,-1.0570395575657399,-3.25523549010174,NS,Good_T Cells,-1.4877722236680002,-1.4877722236680002,ALOX5AP
MONO,ALOX5AP,-1.1251649575497353,9.087476325131227,-2.350166088322228,0.030986227143332226,0.10783890745138884,-3.8197654618411305,-2.157249529937851,NS,Good_MONO,-1.4877722236680002,-1.4877722236680002,ALOX5AP
Myeloid,ALOX5AP,-0.41518968316923655,9.955026291207965,-1.2324847763338074,0.22753732543117844,0.40308698116095326,-5.516694236223615,-1.2067269272892112,NS,Good_Myeloid,-1.4877722236680002,-1.4877722236680002,ALOX5AP
MONO,THBD,-1.8118182052306189,6.592936389840213,-4.721930215519318,5.17613642161958e-5,0.0027409938719952895,1.7639275070167457,-4.047528124377266,NS,Good_MONO,-1.5857680111169212,-1.1893260083376909,THBD
NEUT,THBD,-1.2907414560923538,7.212219771034371,-3.106104356376652,0.005389687283030431,0.03532196642691361,-2.3483447565417688,-2.7827707595641753,NS,Good_NEUT,-1.5857680111169212,-1.1893260083376909,THBD
Myeloid,THBD,-1.6547443720277908,3.2202731747705102,-2.167208511369568,0.03794122243269123,0.12331734968482304,-4.105347690876051,-2.0754891605351906,NS,Good_Myeloid,-1.5857680111169212,-1.1893260083376909,THBD
MONO,FGR,-1.5422945219732158,7.653897901088929,-4.8158109939656235,1.0258949887009495e-4,0.003805080564023299,1.821824318467245,-3.8843843768882906,NS,Good_MONO,-1.180447045350506,-1.180447045350506,FGR
T Cells,FGR,-1.0316421138347422,6.524201277560071,-3.866848784315989,0.001217412237241622,0.014833103251920892,-0.30671615166272925,-3.2347689013110297,NS,Good_T Cells,-1.180447045350506,-1.180447045350506,FGR
NEUT,FGR,-0.38150987477776077,8.583410703442558,-2.7625772104690776,0.011211955752986365,0.055998699255407666,-3.1002747151297934,-2.5360224144154078,NS,Good_NEUT,-1.180447045350506,-1.180447045350506,FGR
Myeloid,FGR,-1.7663416708163053,3.3051136218559924,-2.434350672217737,0.020841099119319962,0.08318538377240221,-3.601734413026201,-2.310850769452892,NS,Good_Myeloid,-1.180447045350506,-1.180447045350506,FGR
MONO,CSTA,-2.177932417772758,7.973193971047397,-4.894040867704104,1.1577886625322856e-4,0.004058141150164751,2.1439272898915283,-3.8548959371387124,NS,Good_MONO,-1.569754912592491,-1.1773161844443683,CSTA
NEUT,CSTA,-0.9398731917696912,8.850140907419773,-3.5413996853206005,0.001743960864041325,0.018173734686059716,-1.3847169587610892,-3.130690100106519,NS,Good_NEUT,-1.569754912592491,-1.1773161844443683,CSTA
Myeloid,CSTA,-1.591459128235024,2.0809489695572627,-2.23563226764586,0.03387488736680068,0.11432450906827031,-3.869892026103908,-2.1215578232181556,NS,Good_Myeloid,-1.569754912592491,-1.1773161844443683,CSTA
MONO,CKS2,-1.8649893065293806,6.890200302361974,-6.448547129120773,1.0222156766840122e-6,4.180104920840066e-4,5.547858754784997,-4.887312890828024,NS,Good_MONO,-1.1554816470877491,-1.1554816470877491,CKS2
NEUT,CKS2,-1.7651923041135564,7.234332046492228,-6.187219932235741,2.006544094784632e-6,5.608671734308133e-4,4.698802874189414,-4.7527641034015815,NS,Good_NEUT,-1.1554816470877491,-1.1554816470877491,CKS2
T Cells,CKS2,-0.4094741086304605,6.949192394678701,-2.2876556485101673,0.02874685522611377,0.10266667590215821,-4.012147386999384,-2.18694067311595,NS,Good_T Cells,-1.1554816470877491,-1.1554816470877491,CKS2
Myeloid,CKS2,-0.5822708690775995,6.5534341851682925,-1.6959002749034533,0.0998011361420547,0.23386844397430226,-4.922091520135762,-1.6458184812573413,NS,Good_Myeloid,-1.1554816470877491,-1.1554816470877491,CKS2
