assay,ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,pos_avgLFC,avg_LFC,gene
Adapt_AIF1,CXCL8,-2.800002055513342,6.591314906967596,-4.541024194568933,7.38765216075704e-5,0.003773938127286674,1.3477782963545373,-3.963442958459341,-1.9783594323858522,-1.978359432385852,CXCL8
Adapt_IFI44L,CXCL8,-2.2620730878281625,6.725493110069036,-3.9849681531280052,3.032081728356531e-4,0.008747205835424984,0.20631483474524526,-3.6125435417748686,-1.9783594323858522,-1.978359432385852,CXCL8
PVM_CD163,CXCL8,-3.1221987038775745,7.970535734242128,-4.090772729803841,3.165479281936141e-4,0.00896754964588171,0.16859634269573842,-3.6013673469019687,-1.9783594323858522,-1.978359432385852,CXCL8
Adapt_TMEM163,CXCL8,-2.7066123604405115,6.824868184286978,-4.013302168285013,4.0349591305893816e-4,0.010364106659487452,-0.05029346651393407,-3.537786671706841,-1.9783594323858522,-1.978359432385852,CXCL8
PVM_GPNMB,CXCL8,-2.278841289773706,7.835795915188178,-3.7469021092930457,7.004352304406865e-4,0.014374041416940384,-0.5870641401372412,-3.3894087244932334,-1.9783594323858522,-1.978359432385852,CXCL8
Adapt_HIST,CXCL8,-1.6067678734593676,7.791441605987219,-3.654807919543725,9.253108061245089e-4,0.01699020605064733,-0.8379855210216309,-3.312303568824786,-1.9783594323858522,-1.978359432385852,CXCL8
Prolif_MKI67,CXCL8,-3.291887895043212,6.50285407699692,-4.010662924753676,0.0011435471935439911,0.019151324540587385,-0.498478844846332,-3.2525990820048625,-1.9783594323858522,-1.978359432385852,CXCL8
Adapt_HIF1A,CXCL8,-1.8271222570324523,9.289005829856888,-2.762759594280419,0.01092587344367689,0.07316204381723555,-2.6906294362926966,-2.5450607298597543,-1.9783594323858522,-1.978359432385852,CXCL8
Adapt_CCL3,CXCL8,-1.033979590000417,9.942109779619434,-2.4845573141525343,0.01851229179487766,0.10002591623116172,-3.518074596247308,-2.355208970174656,-1.9783594323858522,-1.978359432385852,CXCL8
Homeo_FRMD4A,CXCL8,-1.6621542510350715,7.101670899684289,-2.298186990140347,0.028344198446151603,0.1299280882777647,-3.771023943559731,-2.192489250396439,-1.9783594323858522,-1.978359432385852,CXCL8
Homeo_PICALM,CXCL8,-0.9515274537695535,5.76660216980698,-1.5767316422167097,0.12815005760937584,0.32084909771850467,-5.031134884236004,-1.5214376066247477,-1.9783594323858522,-1.978359432385852,CXCL8
Adapt_HSPA1A,CXCL8,-0.19714637085685638,9.157810708824565,-0.29293332193994437,0.7714301513443601,0.8835779197064464,-6.253842930825861,-0.29050470564949293,-1.9783594323858522,-1.978359432385852,CXCL8
PVM_GPNMB,S100A8,-4.058976680130376,5.398821545914879,-4.447735397656008,9.554915543748866e-5,0.004408487249357429,1.2728836362544298,-3.901624858471426,-2.345628263354856,-1.759221197516142,S100A8
Adapt_IFI44L,S100A8,-2.8989228446602224,6.826421806106442,-3.4845783348006316,0.0013146172939539206,0.02078956125531213,-1.0770200997251873,-3.212769540344923,-2.345628263354856,-1.759221197516142,S100A8
Homeo_FRMD4A,S100A8,-3.788067091712975,4.62427619898106,-2.709307374350671,0.010809745899382257,0.07270405341069654,-2.9142076782004853,-2.548789714736123,-2.345628263354856,-1.759221197516142,S100A8
Adapt_AIF1,S100A8,-1.6811284223746579,6.66857930625369,-2.625750618839621,0.013025374930324182,0.08105604077913162,-3.4738591200927798,-2.4830747562642075,-2.345628263354856,-1.759221197516142,S100A8
Adapt_HSPA1A,S100A8,-2.7205776746538106,4.662057147962755,-2.2856896836678535,0.028912978487297503,0.1314963900592505,-3.8895753046766024,-2.184670993046883,-2.345628263354856,-1.759221197516142,S100A8
Adapt_HIST,S100A8,-2.271083229185395,4.840519014420765,-2.1965147982717075,0.035511677445496014,0.14816551323990154,-4.162856977120358,-2.102475113348267,-2.345628263354856,-1.759221197516142,S100A8
Adapt_CCL3,S100A8,-1.8164117914275077,5.182097122536473,-1.6202782907489783,0.11519052743759964,0.30103695460458196,-5.059081075743164,-1.5752856384679577,-2.345628263354856,-1.759221197516142,S100A8
Adapt_HIF1A,S100A8,-1.023524760728372,6.769173797782539,-1.2652785294878863,0.22192935208365103,0.44417948155851406,-5.212472371163903,-1.2214138864241926,-2.345628263354856,-1.759221197516142,S100A8
Prolif_MKI67,S100A8,-0.8519618753203873,8.784964812155662,-0.811651010555989,0.4293766391974265,0.6478361463424157,-5.638410119683176,-0.79025880586542685,-2.345628263354856,-1.759221197516142,S100A8
Adapt_CCL3,AC103591.3,-1.74435559533979,7.351275531853638,-6.471124070038757,3.320659004610268e-7,1.5483419715884306e-4,6.449616464287893,-5.104274541866351,-1.713015664667123,-1.7130156646671229,AC103591.3
Adapt_IFI44L,AC103591.3,-2.325429569278649,6.11659359671062,-6.4187961202047115,1.3564988049000637e-6,3.7116893946052945e-4,6.92855981439746,-4.831292007479932,-1.713015664667123,-1.7130156646671229,AC103591.3
Adapt_HIST,AC103591.3,-2.1401123677711986,7.792621455242267,-5.627432104912576,3.335389253259023e-6,6.133223820027004e-4,4.35126556528586,-4.6490057439722,-1.713015664667123,-1.7130156646671229,AC103591.3
Adapt_AIF1,AC103591.3,-2.3442639200744826,5.9378807127913165,-5.513567213455641,4.862964290346898e-6,7.643744330991136e-4,3.8682076527766496,-4.5706143713421135,-1.713015664667123,-1.7130156646671229,AC103591.3
PVM_GPNMB,AC103591.3,-1.7758095708711745,6.193831078109739,-5.343262739855614,7.468310927770848e-6,9.764362456208552e-4,3.6024705271189585,-4.479885448559532,-1.713015664667123,-1.7130156646671229,AC103591.3
PVM_CD163,AC103591.3,-1.9047673326400707,6.395355846086937,-4.535168272481786,1.2928252907073092e-4,0.005281024840895464,1.1944101242525793,-3.827821362540901,-1.713015664667123,-1.7130156646671229,AC103591.3
Adapt_HIF1A,AC103591.3,-1.8586890912649405,7.349024337529968,-3.522902003807183,0.001436669447059303,0.021974430253849323,-1.0367319357537,-3.187180786093875,-1.713015664667123,-1.7130156646671229,AC103591.3
Homeo_FRMD4A,AC103591.3,-1.5230886580453236,6.577208422881095,-3.2965138506128966,0.002451348741840416,0.030111392676988657,-1.5765090725173438,-3.029283076739667,-1.713015664667123,-1.7130156646671229,AC103591.3
Homeo_PICALM,AC103591.3,-1.5409725942924801,6.377994430062405,-2.9168909141238304,0.0060866849102796305,0.05166731439218793,-2.427337486720411,-2.7430746368744088,-1.713015664667123,-1.7130156646671229,AC103591.3
Adapt_TMEM163,AC103591.3,-1.4955719029873937,6.55759566555548,-2.8694434884383577,0.007466696974514034,0.05842306819356485,-2.7377499070531077,-2.6752795105467015,-1.713015664667123,-1.7130156646671229,AC103591.3
Adapt_HSPA1A,AC103591.3,-1.2001956827796771,7.196086830117544,-2.783957370848829,0.009264415603984538,0.06634939404845965,-2.8170068573059934,-2.602139511816738,-1.713015664667123,-1.7130156646671229,AC103591.3
Prolif_MKI67,AC103591.3,-0.702931690660296,5.51549010133064,-1.349992952329447,0.20192640618994406,0.4203944292707699,-5.121334257960014,-1.2760823611172822,-1.713015664667123,-1.7130156646671229,AC103591.3
Homeo_PICALM,HLA-DRB5,-3.807234100015694,8.158135770868599,-5.107094982648357,1.1880156650173891e-5,0.0012950325406221237,3.1975469114928545,-4.3797756315003395,-1.4479280500155434,-1.4479280500155431,HLA-DRB5
Adapt_IFI44L,HLA-DRB5,-2.093283627970666,7.567352057713605,-2.446728107903226,0.01926963949774625,0.10259105878509946,-3.541032804523973,-2.340273175277248,-1.4479280500155434,-1.4479280500155431,HLA-DRB5
