p_val	p_val_adj	cluster	gene	avg_log2FC.y	pct.1.y	pct.2.y	sd.1	sd.2	RNA.MTC.123	RNA.MTC.456	se	tstat	log2FC
0	0	MTC_456	SPP1	3.62882203009113	1	1	0.9283956828288887	0.6504069125343507	16.917517349744646	250.77765792834035	0.00961450220319334	377.4321284034717	3.62882203009113
0	0	MTC_456	TIMP1	3.2310560502671626	0.989	0.859	1.0669773392728448	0.33828247483257384	0.21002226004977848	4.4275369939156946	0.00964394119993261	335.0348144272946	3.2310560502671626
0	0	MTC_456	MT2A	3.2254644628474507	0.987	0.851	1.2112020849858405	0.4818351571847596	0.32982584784600394	4.859725080748134	0.011197939688194013	288.04088543610015	3.2254644628474507
0	0	MTC_456	LGALS1	3.187094935027722	0.984	0.761	1.0558726561545553	0.4950838848120985	0.3271467853869153	5.125675655374477	0.009989501584554817	319.0444396100224	3.187094935027722
0	0	MTC_456	G0S2	3.0104631907847805	0.78	0.138	1.2696418867116228	0.2747790538650794	0.04843001178473274	2.1849951175542293	0.011226184281368318	268.1644194796566	3.0104631907847805
0	0	MTC_456	CTSL	2.671490695426904	0.999	0.989	0.9288566273329945	0.331068632183726	0.6207542228623857	5.8444197401036435	0.008484276175153292	314.87549913220926	2.671490695426904
0	0	MTC_456	APOC1	2.3502418500825133	0.998	0.977	0.7969433632352165	0.6595954604034868	1.1368102658111638	7.882544880943401	0.008728731797885391	269.2535301235718	2.3502418500825133
0	0	MTC_456	FABP5	2.270160608582762	0.93	0.408	0.8260261898438225	0.18578087846396674	0.035883200209508304	1.4734470066851963	0.0073151757586293045	310.33575726526874	2.270160608582762
0	0	MTC_456	S100A9	2.24126812205401	0.86	0.352	0.9762680381687194	0.41813811962748954	0.12712321592248518	1.945947570044281	0.009112545915126877	245.95411018269795	2.24126812205401
0	0	MTC_456	CD163	2.2247765834057733	0.891	0.281	0.9510128461277394	0.32153600926220915	0.07713761948409198	1.6263081198827436	0.008643160740774205	257.40312486731455	2.2247765834057733
0	0	MTC_456	S100A8	2.2130913441595927	0.857	0.279	0.8804422771145468	0.2690376231427943	0.04898258478460251	1.3824862915946599	0.007935114671160313	278.8984703904705	2.2130913441595927
0	0	MTC_456	LDHA	2.062595252928719	1	0.978	0.5201235858479253	0.40556015975993776	0.5856016760507886	3.603431232629733	0.005575768429792547	369.92125460372824	2.062595252928719
0	0	MTC_456	GAPDH	2.0564102005055993	1	1	0.5713718306262862	0.4365031082485513	2.8490951944480747	13.240757154660807	0.006082498930462139	338.08640560654504	2.0564102005055993
0	0	MTC_456	RGS16	1.9312362905279898	0.945	0.814	1.0045362262244077	0.5499843145227359	0.3424669372790262	2.1530804476826795	0.009777593575116301	197.51652343608671	1.9312362905279898
0	0	MTC_456	MIF	1.9305949042062343	0.999	0.993	0.5849629165177945	0.41718686192768084	0.700044520099513	3.6271764440772034	0.006090785156464561	316.96979200738406	1.9305949042062343
0	0	MTC_456	IFITM3	1.884080929622499	0.997	0.908	0.5528910937644295	0.40896735510719306	0.2898179913578647	1.7739773154059824	0.005823394230930915	323.5365587332586	1.884080929622499
0	0	MTC_456	PLAUR	1.8762332756436848	0.984	0.915	0.7983013083948637	0.3761535060531408	0.2487495089695158	1.7392894163599097	0.007558632419319277	248.22390765400607	1.8762332756436848
0	0	MTC_456	ENO1	1.7980494269331728	1	0.991	0.5135018208579696	0.37775019127060294	0.6593374361660327	3.376594306317102	0.005398969712776768	333.0356572806944	1.7980494269331728
0	0	MTC_456	SH3BGRL3	1.7768731239159812	1	0.996	0.6577155532239619	0.36635956860240443	1.0709728951158917	4.905671148501428	0.006425046501938921	276.55412663235427	1.7768731239159812
