p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,abs_avg_log2FC,gene
0,-0.5124473438803787,0.099,0.681,0,Good,0.5124473438803787,ARNTL
0,-0.10947712972555479,1,1,0,Good,0.10947712972555479,ATF4
0,-0.1917086979560838,0.931,1,0,Good,0.1917086979560838,BCLAF1
0,-0.7709421358083839,0.941,1,0,Good,0.7709421358083839,BHLHE41
0,-0.2763331882483908,1,1,0,Good,0.2763331882483908,CEBPA
0,-0.2845413917501567,1,1,0,Good,0.2845413917501567,CEBPD
0,-0.13704896344024764,0.225,0.669,0,Good,0.13704896344024764,DBP
0,-0.20381340936397052,1,0.993,0,Good,0.20381340936397052,DDIT3
0,-0.31048013680521347,1,1,0,Good,0.31048013680521347,EGR2
0,-0.28550796069587436,1,1,0,Good,0.28550796069587436,EGR3
0,-0.5398804097842418,0.996,1,0,Good,0.5398804097842418,ELF1
0,-0.2374091458614589,0.364,0.777,0,Good,0.2374091458614589,ELF2
0,-0.2370303604309152,0.945,1,0,Good,0.2370303604309152,EP300
0,-0.6101837458482118,0.079,0.735,0,Good,0.6101837458482118,ESRRG
0,-0.5746928880599365,0.928,1,0,Good,0.5746928880599365,ETV5
0,-0.20093673619267394,0.584,0.893,0,Good,0.20093673619267394,ETV6
0,-0.32258801462671416,0.688,0.989,0,Good,0.32258801462671416,FLI1
0,-0.41331012312045323,1,1,0,Good,0.41331012312045323,FOS
0,-0.26874257630387177,1,1,0,Good,0.26874257630387177,FOSB
0,-0.11840335822993042,0.163,0.767,0,Good,0.11840335822993042,FOXO1
0,-0.21512304327071163,0.999,1,0,Good,0.21512304327071163,FOXO3
0,-0.4327940241394912,0.985,1,0,Good,0.4327940241394912,FOXP2
0,-0.22455251284017685,0.998,0.999,0,Good,0.22455251284017685,GTF2B
0,-0.14345176681489002,1,1,0,Good,0.14345176681489002,IKZF1
0,-0.18513873778171508,0.778,0.944,0,Good,0.18513873778171508,IRF2
0,-0.15652371416713162,0.274,0.884,0,Good,0.15652371416713162,IRF5
0,-0.34218847038639355,1,1,0,Good,0.34218847038639355,IRF8
0,-0.5221921042908999,1,1,0,Good,0.5221921042908999,JUN
0,-0.2999219915328366,1,1,0,Good,0.2999219915328366,JUNB
0,-0.43335978192247815,0.965,0.999,0,Good,0.43335978192247815,JUND
0,-0.3507854082461064,1,1,0,Good,0.3507854082461064,KLF2
0,-0.353127579595792,0.341,0.721,0,Good,0.353127579595792,KLF3
0,-0.2801064831924358,1,1,0,Good,0.2801064831924358,KLF4
0,-0.3438123279964924,1,1,0,Good,0.3438123279964924,KLF6
0,-0.5722801331037051,0.282,0.692,0,Good,0.5722801331037051,KLF9
0,-0.2150645707319847,1,1,0,Good,0.2150645707319847,MAF
0,-0.32510957522359973,0.806,1,0,Good,0.32510957522359973,NFATC2
0,-0.1701332453477451,0.988,1,0,Good,0.1701332453477451,NFIA
0,-0.23203001417033997,0.999,0.992,0,Good,0.23203001417033997,NFKB2
0,-0.14600605666842226,0.02,0.43,0,Good,0.14600605666842226,PLAGL1
0,-0.21522001298152027,0.957,0.999,0,Good,0.21522001298152027,PRDM1
0,-0.19022442124145078,0.996,1,0,Good,0.19022442124145078,PURA
0,-0.15270511215689853,0.835,1,0,Good,0.15270511215689853,REST
0,-0.2605050734504477,0.712,0.813,0,Good,0.2605050734504477,SREBF1
0,-0.689459517093826,0.938,0.998,0,Good,0.689459517093826,STAT3
0,-0.91143911882889,0.99,1,0,Good,0.91143911882889,TAL1
0,-0.5687692732488872,0.926,1,0,Good,0.5687692732488872,TCF4
0,-0.10007328889265654,0.086,0.426,0,Good,0.10007328889265654,TCF7L2
0,-0.22073322094206693,0.782,0.991,0,Good,0.22073322094206693,YY1
0,-0.6991286211345193,0.967,0.997,0,Good,0.6991286211345193,ZBTB11
0,-0.15727267756678165,0.296,0.957,0,Good,0.15727267756678165,ZNF148
0,-0.5538608599867891,0.06,0.564,0,Good,0.5538608599867891,ZNF333
0,-0.17163801924803002,0.627,0.99,0,Good,0.17163801924803002,ZNF431
2.618486817824617e-276,-0.10565343971442465,1,1,4.870385481153787e-274,Good,0.10565343971442465,BCL6
1.3407652231282024e-200,-0.1006538201483087,0.572,0.725,2.4938233150184563e-198,Good,0.1006538201483087,MAX
0,0.3584099701512442,1,1,0,Poor,0.3584099701512442,CREM
0,0.17682635574686945,0.398,0.007,0,Poor,0.17682635574686945,ELK1
0,0.137070454534038,1,0.974,0,Poor,0.137070454534038,ETV4
0,0.4584080904798493,0.996,0.96,0,Poor,0.4584080904798493,FOSL1
0,0.31511855065748007,1,1,0,Poor,0.31511855065748007,FOSL2
0,0.3014310573064787,0.972,0.355,0,Poor,0.3014310573064787,HMGA1
0,0.2136239113136833,0.292,0.008,0,Poor,0.2136239113136833,ILF2
0,0.2608054492018814,1,0.995,0,Poor,0.2608054492018814,IRF7
0,0.4407952307846519,1,1,0,Poor,0.4407952307846519,MAFB
0,0.25379327324200673,0.793,0.48,0,Poor,0.25379327324200673,NFATC1
0,0.6868920518869635,1,1,0,Poor,0.6868920518869635,PPARG
0,0.44153570106755824,0.752,0.408,0,Poor,0.44153570106755824,RARA
0,0.8909500588890409,0.633,0.076,0,Poor,0.8909500588890409,RELB
0,0.6819820105811318,1,0.988,0,Poor,0.6819820105811318,SPI1
0,0.3762133934019678,1,0.945,0,Poor,0.3762133934019678,STAT1
