CCI,MTC_123,MTC_456,log2FC,cluster,Orientation
MTC_123:HSPA1A.TLR4,2.5193865,0,-1.815324,MTC_123,Senders
MTC_Prolif:C3.CD81,2.4894924,0,-1.8030171,MTC_123,Senders
NEUT:HSPA1A.TLR4,2.4356284,0,-1.780574,MTC_123,Senders
T Cells:HMGB1.CXCR4,2.2086887,0,-1.6819838,MTC_123,Senders
MTC_123:C3.CD81,2.1346102,0,-1.648286,MTC_123,Senders
MTC_456:C3.CD81,1.9969168,0,-1.583479,MTC_123,Senders
MTC_123:C3.C3AR1,1.9427135,0,-1.5571471,MTC_123,Senders
MTC_Prolif:C3.C3AR1,1.9279852,0,-1.5499083,MTC_123,Senders
MTC_456:C3.C3AR1,1.9127727,0,-1.5423931,MTC_123,Senders
MONO:MIF.CD44_CD74,0,1.8637917,1.5179266,MTC_456,Senders
MTC_123:CD14.TLR4,0,1.9016782,1.5368875,MTC_456,Senders
NEUT:MIF.CD44_CD74,0,1.905242,1.5386584,MTC_456,Senders
NEUT:CD14.ITGB1,0,1.9922903,1.5812501,MTC_456,Senders
T Cells:CD14.ITGB1,0,1.9988128,1.5843914,MTC_456,Senders
MTC_Prolif:CD14.ITGB1,0,2.0321608,1.6003462,MTC_456,Senders
MONO:CD14.ITGB1,0,2.083407,1.6245253,MTC_456,Senders
B Cells:LGALS1.CD69,0,2.0920296,1.6285541,MTC_456,Senders
T Cells:LGALS1.CD69,0,2.1120646,1.637872,MTC_456,Senders
MTC_123:C1QB.LRP1,0,2.1487575,1.6547827,MTC_456,Senders
NEUT:C1QB.LRP1,0,2.1695366,1.664272,MTC_456,Senders
MTC_123:APOE.LRP1,0,2.1739373,1.6662736,MTC_456,Senders
MONO:APOE.SDC2,0,2.177363,1.6678299,MTC_456,Senders
MONO:C1QB.LRP1,0,2.1797788,1.6689264,MTC_456,Senders
NEUT:APOE.LRP1,0,2.1947165,1.6756879,MTC_456,Senders
MONO:APOE.LRP1,0,2.2049587,1.6803057,MTC_456,Senders
MONO:CD14.ITGB2,0,2.2649674,1.7070686,MTC_456,Senders
MTC_123:CD14.ITGB2,0,2.290225,1.7181863,MTC_456,Senders
MTC_Prolif:CD14.ITGB2,0,2.3277373,1.7345415,MTC_456,Senders
MTC_456:CD14.ITGB2,0,2.4046826,1.7675203,MTC_456,Senders
NEUT:CD14.ITGB2,0,2.4197,1.7738698,MTC_456,Senders
MONO:B2M.LILRB2,0,2.4824078,1.8000852,MTC_456,Senders
B Cells:MIF.CD74_CXCR4,0,2.4834714,1.8005257,MTC_456,Senders
MTC_Prolif:APOE.SORL1,0,2.4941278,1.8049324,MTC_456,Senders
MTC_123:APOE.TREM2,0,2.798844,1.9255605,MTC_456,Senders
MTC_Prolif:APOE.TREM2,0,2.8627892,1.9496429,MTC_456,Senders
MTC_456:APOE.TREM2,0,2.956451,1.9842069,MTC_456,Senders
MTC_Prolif:SPP1.ITGAV_ITGB1,0,3.1326575,2.0470698,MTC_456,Senders
MTC_Prolif:SPP1.ITGAV_ITGB5,0,3.1326575,2.0470698,MTC_456,Senders
T Cells:SPP1.ITGA4_ITGB1,0,3.2595882,2.090714,MTC_456,Senders
NEUT:SPP1.ITGA4_ITGB1,0,3.2615683,2.0913844,MTC_456,Senders
T Cells:SPP1.PTGER4,0,3.3271952,2.1134322,MTC_456,Senders
B Cells:SPP1.CD44,0,3.4188752,2.1436791,MTC_456,Senders
T Cells:SPP1.CD44,0,3.4802673,2.163585,MTC_456,Senders
MONO:SPP1.CD44,0,3.8519053,2.2785513,MTC_456,Senders
NEUT:SPP1.CD44,0,3.8933558,2.2908242,MTC_456,Senders
MTC_Prolif:APOE.SORL1,3.030703,0,-2.0110314,MTC_123,Targets
MTC_456:APOE.SORL1,2.970016,0,-1.9891448,MTC_123,Targets
NEUT:S100A9.TLR4,2.5396967,0,-1.8236258,MTC_123,Targets
MTC_123:HSPA1A.TLR4,2.5193865,0,-1.815324,MTC_123,Targets
NEUT:COPA.CD74,2.4452024,0,-1.7845887,MTC_123,Targets
MTC_Prolif:C1QB.LRP1,2.4264746,0,-1.7767249,MTC_123,Targets
MONO:LGALS1.PTPRC,2.4108012,0,-1.7701106,MTC_123,Targets
MTC_123:APOE.SORL1,2.3098345,0,-1.7267591,MTC_123,Targets
NEUT:S100A8.TLR4,2.30701,0,-1.7255274,MTC_123,Targets
B Cells:HLA-DRA.CD4,2.241298,0,-1.6965717,MTC_123,Targets
MTC_Prolif:APOE.LRP1,2.2346241,0,-1.693598,MTC_123,Targets
MTC_Prolif:HLA-DRA.CD4,2.2130225,0,-1.6839311,MTC_123,Targets
MONO:S100A9.TLR4,2.2018194,0,-1.6788919,MTC_123,Targets
NEUT:HSPA1A.TLR4,2.174055,0,-1.6663271,MTC_123,Targets
MTC_456:APOE.LRP1,2.1739373,0,-1.6662736,MTC_123,Targets
MTC_456:C1QB.LRP1,2.1487575,0,-1.6547827,MTC_123,Targets
MTC_Prolif:HLA-DRB1.CD4,2.067619,0,-1.6171193,MTC_123,Targets
MONO:S100A8.TLR4,2.0485444,0,-1.6081206,MTC_123,Targets
MTC_456:CD14.TLR4,1.9016782,0,-1.5368875,MTC_123,Targets
MTC_Prolif:HMGB1.TLR4,1.8818963,0,-1.5270184,MTC_123,Targets
MTC_Prolif:C3.CD81,1.8665391,0,-1.5193099,MTC_123,Targets
NEUT:ANXA1.FPR1,0,1.8422234,1.50702,MTC_456,Targets
T Cells:HLA-C.LILRB1,0,1.9394609,1.5555515,MTC_456,Targets
MTC_Prolif:HMGB1.CD163,0,1.9688654,1.5699117,MTC_456,Targets
NEUT:LGALS1.ITGB1,0,1.989099,1.5797107,MTC_456,Targets
MONO:LGALS1.ITGB1,0,2.062233,1.6145841,MTC_456,Targets
NEUT:S100A8.CD69,0,2.2025833,1.679236,MTC_456,Targets
T Cells:HLA-B.CANX,0,2.503777,1.808911,MTC_456,Targets
