moa,AvgRank_moa,MOA.pseudo.zscore,N_compounds_moa,MOA.MW.p,Rank_moa,MOA.MW.FDR
mTOR inhibitor,22205.3720938931,1.95380482759706,21,9.39365948952367e-10,1,3.2126315454171e-07
sodium/calcium exchange inhibitor,23141.05,1.75406453402093,2,0.0437726106697481,2,0.639704370445633
antihistamine,25994.95,1.48432805107986,2,0.103626494401102,3,0.706622790656801
PI3K inhibitor,27953.1521421736,1.53571365473343,25,1.08333649158387e-07,4,1.85250540060841e-05
retinoid receptor ligand,28485.9439356436,1.24546116531659,2,0.312249013392453,5,0.85701610097089
melatonin receptor agonist,28532.9097222222,1.41941808414063,4,0.050365352579505,6,0.640372470214654
lipase clearing factor inhibitor,29120.6,1.35178013828438,2,0.054274714791219,7,0.640372470214654
mediator release inhibitor,29311.8592307692,1.23116175639658,2,0.193345512267903,8,0.817311941080833
insulin growth factor receptor inhibitor,29642.6875,1.23693131972371,2,0.171309762209875,9,0.772010340168464
nuclear factor erythroid derived,30189.5175,1.27552565278719,2,0.0550081607084417,10.5,0.640372470214654
like (NRF2) activator,30189.5175,1.27552565278719,2,0.0550081607084417,10.5,0.640372470214654
IGF-1 inhibitor,30325.8940428443,1.25109623431443,5,0.00506143686229195,12,0.162397532158126
GLI antagonist,31274.3576923077,1.19940286340222,2,0.069360315552432,13,0.677749369112336
beta amyloid protein neurotoxicity inhibitor,31694.0615384615,1.16967155998143,2,0.0938975959174576,14,0.706622790656801
norepinephrine transporter inhibitor,32421.4833333333,0.909643544021349,2,0.609293008467152,15,0.921330740026204
glutamate inhibitor,32694.3056410256,0.671896194707512,3,0.238544019439835,16,0.84801601503702
11-beta hydroxysteroid dehydrogenase inhibitor,32960.13,1.08233275550719,2,0.0768173006084058,17,0.691355705475652
PABA antagonist,33176.6,0.914063960787075,2,0.542132016802842,18,0.910708941682965
ephrin inhibitor,33195.4772055074,1.06190435146377,2,0.0909235990106601,19,0.706622790656801
HSP inhibitor,34256.6811603959,1.20275649204606,11,0.00134574347241096,20,0.0657491810806497
estrogenic hormone,35015.575,0.816956500681341,2,0.497155406891317,21,0.885974910226924
