"Clusters","predicted.celltype","n","fraction"
"MTC_1","Macro_2",10,0.00127877237851662
"MTC_1","Micro_3",2934,0.375191815856777
"MTC_1","SAMC",509,0.0650895140664962
"MTC_1","stress_Myeloid",4367,0.55843989769821
"MTC_2","Macro_2",135,0.0257535291873331
"MTC_2","Micro_1",8,0.00152613506295307
"MTC_2","Micro_3",1140,0.217474246470813
"MTC_2","SAMC",318,0.0606638687523846
"MTC_2","stress_Myeloid",3641,0.694582220526517
"MTC_3","Macro_1",11,0.00420328620557891
"MTC_3","Macro_2",506,0.19335116545663
"MTC_3","Micro_1",516,0.197172334734429
"MTC_3","Micro_3",225,0.0859763087504776
"MTC_3","SAMC",331,0.126480703095147
"MTC_3","stress_Myeloid",1028,0.392816201757738
"MTC_4","Macro_1",8,0.00168314748579844
"MTC_4","Macro_2",673,0.141594782242794
"MTC_4","Micro_3",13,0.00273511466442247
"MTC_4","SAMC",4005,0.842625710077846
"MTC_4","prolif_cells",1,0.000210393435724805
"MTC_4","stress_Myeloid",53,0.0111508520934147
"MTC_5","Macro_1",30,0.0112528132033008
"MTC_5","Macro_2",17,0.00637659414853713
"MTC_5","Micro_3",17,0.00637659414853713
"MTC_5","SAMC",2595,0.973368342085521
"MTC_5","stress_Myeloid",7,0.00262565641410353
"MTC_6","Macro_1",55,0.00977951635846373
"MTC_6","Micro_3",210,0.0373399715504979
"MTC_6","SAMC",5338,0.949146514935989
"MTC_6","stress_Myeloid",21,0.00373399715504979
"MTC_Prolif","SAMC",64,0.470588235294118
"MTC_Prolif","prolif_cells",69,0.507352941176471
"MTC_Prolif","stress_Myeloid",3,0.0220588235294118
