source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
MTC_456,NEUT,SPP1,CD44,3.8933558,0.0,10.963501,1.5414083,2.922254,0.07100153,0.9630173,0.25466037750200876,0.0,0.014529270779358382,4.732850770250246e-11
MTC_456,MONO,SPP1,CD44,3.8519053,0.0,10.470951,1.4807779,3.0852056,0.06781169,0.96219,0.24075443070012392,0.0,0.014529270779358382,1.2775945125959787e-09
MTC_Prolif,NEUT,SPP1,CD44,3.2383466,0.0,8.546183,1.2231759,1.0900931,0.05534656,0.9583167,0.21008126120060633,0.0,0.014529270779358382,3.5735729064172446e-08
MONO,MTC_456,TIMP1,CD63,3.2261834,0.0,10.210638,1.0576994,2.3017817,0.059811726,0.96172935,0.24151663016032113,0.0,0.014529270779358382,4.462969320574629e-08
MONO,MONO,TIMP1,CD63,3.177637,0.0,9.854238,1.0202229,1.9723448,0.057724003,0.9610701,0.23580473330009535,0.0,0.014529270779358382,7.988921562212407e-08
MONO,MTC_Prolif,TIMP1,CD63,3.1487184,0.0,9.6419325,0.9978964,1.8513564,0.05648037,0.96066064,0.22563246076092283,0.0,0.014529270779358382,1.3005676770820156e-07
MTC_Prolif,MONO,SPP1,CD44,3.196896,0.0,8.162234,1.1625454,1.2530447,0.052860044,0.9573889,0.1979630473254824,0.0,0.014529270779358382,3.2399704598022434e-07
T Cells,T Cells,B2M,KLRD1,3.5306396,0.0,8.600202,2.3687663,2.715073,0.16564839,0.95844233,0.19482118394583664,0.0,0.00030327261919352766,4.373653897083294e-07
NEUT,T Cells,S100A8,CD69,3.085207,0.0,8.898535,2.0690055,3.4802842,0.14837813,0.9591162,0.20057741486940198,0.0,0.0010702690971311462,8.224130359057725e-07
NEUT,B Cells,S100A8,CD69,3.0651722,0.0,8.7433605,2.0496552,3.389456,0.14579068,0.95876986,0.20436123234957024,0.0,0.001391373472105262,1.290306878805108e-06
NEUT,MTC_456,TIMP1,CD63,3.0641928,0.0,9.30944,0.9494287,1.7079368,0.0545327,0.9599922,0.2176951387248711,0.0,0.014529270779358382,1.3823334118541983e-06
