"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"MONO","MTC_123","TGFB1","TGFbR1_R2",0.00344443856111289,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"MTC_123","MTC_123","TGFB1","TGFbR1_R2",0.0040472137722895,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"MTC_456","MTC_123","TGFB1","TGFbR1_R2",0.00404416216735443,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"MTC_Prolif","MTC_123","TGFB1","TGFbR1_R2",0.0100406101475327,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"NEUT","MTC_123","TGFB1","TGFbR1_R2",0.00400599250609516,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"T Cells","MTC_123","TGFB1","TGFbR1_R2",0.00430978142131434,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"MTC_Prolif","MTC_456","TGFB1","TGFbR1_R2",0.00715088891614403,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"MONO","MTC_Prolif","TGFB1","TGFbR1_R2",0.00329077594902467,0.55,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"MTC_123","MTC_Prolif","TGFB1","TGFbR1_R2",0.00386681418812381,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"MTC_456","MTC_Prolif","TGFB1","TGFbR1_R2",0.0038638980770224,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"MTC_Prolif","MTC_Prolif","TGFB1","TGFbR1_R2",0.00959563615422221,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
