"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",158,0.691793015565062,3.63537234098633,1.45736054021827e-37,7.14106664706953e-36,2.30109558981832e-36,1,"tags=55%, list=10%, signal=50%","LDHA/PGK1/NME1/PSMA7/EIF2S2/SNRPD1/PSMC4/RAN/PSMD14/NPM1/PSMB3/RANBP1/PA2G4/SRM/NHP2/PSMD8/HPRT1/EIF4E/EIF2S1/PSMA6/EIF4A1/CCT2/EIF3J/CANX/NOP16/PSMB2/PSMA2/YWHAE/IMPDH2/PSMD7/SNRPG/SNRPD2/RACK1/CCT5/RSL1D1/CNBP/PPIA/DDX21/PSMA4/CCT7/UBE2L3/HNRNPA1/TXNL4A/LSM7/GSPT1/EEF1B2/ILF2/SET/AP3S1/CCT3/GNL3/XRCC6/PSMD3/VBP1/ERH/RAD23B/YWHAQ/AIMP2/PPM1G/CCT4/ETF1/PSMA1/KPNB1/EIF4H/NOLC1/SSB/RRP9/PWP1/SNRPD3/SYNCRIP/SERBP1/SNRPA/MYC/RUVBL2/ACP1/SNRPA1/KPNA2/UBA2/NCBP2/SNRPB2/FBL/PTGES3/CDK4/EIF3D/EIF4G2/CTPS1/TFDP1"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",164,0.642356619180152,3.38030506575443,3.41465423290816e-31,8.36590287062499e-30,2.69577965755907e-30,2,"tags=57%, list=16%, signal=48%","LDHA/GAPDH/ENO1/PGK1/IFI30/TPI1/SLC7A5/SDF2L1/NAMPT/EIF2S2/PPA1/CALR/PSMC4/PSMD14/HSPA5/PRDX1/CCT6A/CD9/PSMA3/HPRT1/ARPC5L/GPI/HSP90B1/PNP/CANX/SLA/PPIA/PSMA4/G6PD/M6PR/RPN1/PSMB5/UBE2D3/ACTR3/CTSC/PNO1/PSMC2/RAB1A/PGM1/HSPA4/PFKL/PSMD13/EEF1E1/GLRX/MAP2K3/FKBP2/PDAP1/PSMD12/SLC2A1/ETF1/ALDOA/UFM1/BCAT1/NFIL3/PSAT1/TES/RRP9/TRIB3/ABCF2/P4HA1/ERO1A/BHLHE40/ELOVL5/PSME3/TFRC/NIBAN1/STIP1/YKT6/ATP6V1D/HMBS/TUBG1/SLC1A5/XBP1/PSMG1/USO1/DDIT3/SLC2A3/ATP2A2/NFKBIB/GBE1/SERP1/SLC6A6/GLA/GOT1/CORO1A/DDX39A/PSMC6/RDH11/UCHL5/PHGDH/PITPNB/IDH1/SCD"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",133,0.509426833933521,2.60879243015516,2.2720791616776e-13,3.71106263074009e-12,1.19583113772505e-12,3,"tags=39%, list=15%, signal=34%","LDHA/ENO1/MIF/PGK1/SLC16A3/TPI1/PKM/PGAM1/PSMC4/HSPA5/TXN/TGFBI/SDC2/GMPPB/PYGL/GALE/PPIA/CD44/G6PD/VEGFA/FAM162A/TALDO1/GLRX/ENO2/PFKP/HDLBP/ALDOA/ANGPTL4/P4HA2/PRPS1/CHPF/P4HA1/ERO1A/B3GAT3/VCAN/CHST2/UGP2/HS2ST1/PAM/PMM2/SPAG4/RRAGD/KDELR3/IGFBP3/SRD5A3/GOT1/ISG20/PLOD1/MDH1/GFPT1/GMPPA/NSDHL"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",103,0.542090720205691,2.66034111410169,2.3217347208727e-12,2.84412503306906e-11,9.16474231923434e-12,4,"tags=31%, list=8%, signal=29%","SLC7A5/CALR/NPM1/HSPA5/PDIA6/NHP2/EIF4E/EIF2S1/HYOU1/HSP90B1/EIF4A1/EIF4EBP1/BANF1/SRPRB/SPCS3/DNAJC3/VEGFA/YIF1A/EIF4G1/TUBB2A/EXOSC4/LSM4/DNAJB9/ATP6V0D1/LSM1/EEF2/DKC1/NOLC1/PSAT1/RRP9/POP4/ERO1A"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",143,0.47879690216071,2.4751107485253,4.2945825151216e-12,4.20869086481916e-11,1.35618395214366e-11,5,"tags=46%, list=16%, signal=39%","TIMP1/EMP3/MSR1/CD14/PLAUR/NAMPT/CLEC5A/FPR1/SPHK1/SLC31A1/PDPN/RGS16/C5AR1/SELENOS/HIF1A/HBEGF/IFNGR2/ADRM1/LCP2/CD82/SRI/CCL20/SLC7A1/PTPRE/IL4R/AQP9/TNFRSF1B/RHOG/GCH1/TLR2/CCRL2/ADGRE1/MYC/ADM/SLC31A2/CHST2/TNFSF15/ITGB3/ICAM1/CD48/PTGIR/LY6E/PVR/LYN/PDE4B/IL10/NMI/IL18R1/IL15/ATP2A2/IL6/EBI3/BST2/IL1R1/CSF1/NOD2/IFNAR1/ABCA1/MARCO/OSM/CD55/MMP14/GNA15/IFITM1/CXCL8/CD70"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",47,0.682961336332218,2.86484868920541,1.20497949953811e-10,9.84066591289456e-10,3.17099868299503e-10,6,"tags=47%, list=10%, signal=42%","NPM1/PA2G4/SRM/DCTPP1/NOP16/MRTO4/BYSL/IMP4/IPO4/GNL3/NIP7/GRWD1/AIMP2/NOLC1/PES1/RRP9/MYC/PPAN/WDR43/FARSA/CDK4/NOP2"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",141,0.424579872080674,2.18698284860184,5.28546015368974e-09,3.69982210758282e-08,1.19220905722325e-08,7,"tags=41%, list=14%, signal=36%","LDHA/GAPDH/ENO1/MIF/PGK1/TPI1/MT2A/PLAUR/PIM1/ANXA2/HSPA5/TGFBI/SDC2/PLIN2/GPI/HK1/VEGFA/FAM162A/FOSL2/PGM1/MT1E/PFKL/GLRX/FBP1/ENO2/S100A4/PFKP/HDLBP/SLC2A1/ALDOA/ANGPTL4/NFIL3/P4HA2/TES/P4HA1/ERO1A/BHLHE40/ADM/CHST2/HAS1/UGP2/CAVIN1/PAM/TGM2/DDIT3/SLC2A3/RBPJ/RRAGD/IL6/GBE1/ALDOC/NDST2/KDELR3/IGFBP3/MAFF/SLC6A6/ISG20/XPNPEP1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",24,0.718786276812256,2.56073679214707,3.8310564347972e-07,2.34652206631328e-06,7.56129559499447e-07,8,"tags=50%, list=10%, signal=45%","LDHA/ATP6V0C/ATP6V1F/GPI/ATP6V1G1/ATP6V0E1/ATP6AP1/ATP6V0B/ATP6V1C1/ATP6V1E1/POLR2F/ATP6V1D"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",137,0.387430850296195,1.994552030804,5.23389558599748e-07,2.84956537459863e-06,9.18227295789032e-07,9,"tags=27%, list=11%, signal=24%","TIMP1/APOC1/CTSL/FCER1G/PLAUR/CTSB/S100A9/PFN1/PLSCR1/PIM1/HSPA5/ANXA5/CTSD/CALM1/SERPINA1/GRB2/ADAM9/ATOX1/LCP2/GCA/EHD1/CTSC/GNB2/PLEK/CASP4/CALM3/RHOG/STX4/PPP4C/USP14/CSRP1/LGALS3/CTSH/LIPA/C1QC/CASP5/LYN"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",165,0.361327359518416,1.90789602349333,9.45832479356288e-07,4.63457914884581e-06,1.49341970424677e-06,10,"tags=31%, list=15%, signal=27%","IFITM3/IFI30/IFITM2/MT2A/PSME2/NAMPT/PLSCR1/FPR1/PIM1/SOCS3/PTPN2/PSMA3/HIF1A/PNP/ARID5B/PSMB2/PSMA2/LCP2/VAMP8/MVP/UPP1/PSME1/SRI/PTPN1/VAMP5/FCGR1A/IL4R/CASP4/PFKP/SECTM1/GCH1/METTL7B/PSMB8/B2M/IFNAR2/TAP1/ICAM1/ISG15/LY6E/UBE2L6/PDE4B/NMI/IL15/IL6/BST2/IFI35/ISG20/HELZ2/STAT1/PTPN6/MYD88"
