Measure,Comparison,Test,Timepoint,Role,n_Control,n_drug,Estimate_log,SE,Statistic,Fold_change_vs_Control,P_raw,P_BH,Significant,Model,AIC_Gamma,AIC_Gaussian,Convergence
Rotarod RPM (median),RA vs Control,per_timepoint,BSL,balance check,14,14,0.0821651127133133,0.151617382359498,0.541924094946399,0.921,0.587870797207917,NA,,Gamma (log),427.5,447,OK
Rotarod RPM (median),RA vs Control,per_timepoint,Day3,efficacy,14,13,-0.304619774122021,0.15384291182346,-1.98007025810577,1.356,0.0476956345898615,0.0494431196845018,*,Gamma (log),427.5,447,OK
Rotarod RPM (median),RA vs Control,per_timepoint,Day7,efficacy,11,12,-0.392105257325522,0.160616490591651,-2.44125155443973,1.48,0.0146364554519007,0.0375605784894509,*,Gamma (log),427.5,447,OK
Rotarod RPM (median),RA vs Control,trajectory,slope_per_day,trajectory,14,14,-0.070298684575524,0.0236899387940021,-2.96744897430139,1.073,0.00300282119483671,NA,,Gamma (log),427.5,447,OK
Rotarod RPM (median),Everolimus vs Control,per_timepoint,BSL,balance check,14,14,0.0463991159318228,0.157510255859918,0.294578379537951,0.955,0.76831598028085,NA,,Gamma (log),446.4,465.3,OK
Rotarod RPM (median),Everolimus vs Control,per_timepoint,Day3,efficacy,14,13,-0.377702784805481,0.160733915353475,-2.34986364871945,1.459,0.0187802892447255,0.0375605784894509,*,Gamma (log),446.4,465.3,OK
Rotarod RPM (median),Everolimus vs Control,per_timepoint,Day7,efficacy,11,12,-0.330002785142799,0.167961673467035,-1.96475051915678,1.391,0.0494431196845018,0.0494431196845018,*,Gamma (log),446.4,465.3,OK
Rotarod RPM (median),Everolimus vs Control,trajectory,slope_per_day,trajectory,14,14,-0.0555865680118845,0.0252583941615006,-2.20071662737019,1.057,0.0277560909618524,NA,,Gamma (log),446.4,465.3,OK
Rotarod latency to fall (median),RA vs Control,per_timepoint,BSL,balance check,14,14,0.0879841752534841,0.26240887328908,0.335294207664072,0.916,0.737403162721113,NA,,Gamma (log),813.7,778.9,OK
Rotarod latency to fall (median),RA vs Control,per_timepoint,Day3,efficacy,14,13,-0.639995023656017,0.272972637300892,-2.34453910833035,1.896,0.0190506125023768,0.0449734693370228,*,Gamma (log),813.7,778.9,OK
Rotarod latency to fall (median),RA vs Control,per_timepoint,Day7,efficacy,11,12,-0.652694932461963,0.289025790567536,-2.25825844531147,1.921,0.0239295513874818,0.0449734693370228,*,Gamma (log),813.7,778.9,OK
Rotarod latency to fall (median),RA vs Control,trajectory,slope_per_day,trajectory,14,14,-0.102664851251187,0.0498411132258176,-2.05984266013558,1.108,0.0394135848138531,NA,,Gamma (log),813.7,778.9,OK
Rotarod latency to fall (median),Everolimus vs Control,per_timepoint,BSL,balance check,14,14,0.0691675282962432,0.281407329428406,0.245791495327205,0.933,0.805843640891903,NA,,Gamma (log),825.6,793.8,OK
Rotarod latency to fall (median),Everolimus vs Control,per_timepoint,Day3,efficacy,14,13,-0.625323854348089,0.294507941397072,-2.12328350597851,1.869,0.0337301020027671,0.0449734693370228,*,Gamma (log),825.6,793.8,OK
Rotarod latency to fall (median),Everolimus vs Control,per_timepoint,Day7,efficacy,11,12,-0.49734403404433,0.310602845721309,-1.60122175599955,1.644,0.109327811815693,0.109327811815693,,Gamma (log),825.6,793.8,OK
Rotarod latency to fall (median),Everolimus vs Control,trajectory,slope_per_day,trajectory,14,14,-0.0800887188547233,0.0548533584349203,-1.46005132848416,1.083,0.144275967695038,NA,,Gamma (log),825.6,793.8,OK
mNSS,RA vs Control,per_timepoint,2h,balance check,14,14,0.115930936934865,0.184355648478783,0.628843964866134,0.891,0.5294512139867,NA,,Poisson (log),NA,NA,OK
mNSS,RA vs Control,per_timepoint,Day1,efficacy,14,14,0.353611540750311,0.199215681121085,1.77501860677013,0.702,0.0758948149529194,0.192517952920035,,Poisson (log),NA,NA,OK
mNSS,RA vs Control,per_timepoint,Day3,efficacy,14,13,0.330436867595899,0.215561729545434,1.53291063442805,0.719,0.125297875284824,0.192517952920035,,Poisson (log),NA,NA,OK
mNSS,RA vs Control,per_timepoint,Day7,efficacy,11,12,0.404478814572956,0.287980292852602,1.40453643742901,0.667,0.160159169221954,0.192517952920035,,Poisson (log),NA,NA,OK
mNSS,RA vs Control,trajectory,slope_per_day,trajectory,14,14,0.0371325624545668,0.042915684116403,0.865244565456529,0.964,0.38690456971188,NA,,Poisson (log),NA,NA,OK
mNSS,Everolimus vs Control,per_timepoint,2h,balance check,14,14,0.207305024630005,0.232018901741642,0.893483345856208,0.813,0.371598386849371,NA,,Poisson (log),NA,NA,OK
mNSS,Everolimus vs Control,per_timepoint,Day1,efficacy,14,14,0.303028169802427,0.239729654038219,1.26404124269965,0.739,0.206215224264824,0.206215224264824,,Poisson (log),NA,NA,OK
mNSS,Everolimus vs Control,per_timepoint,Day3,efficacy,14,13,0.359972195593711,0.256459614197899,1.40362137219756,0.698,0.160431627433363,0.192517952920035,,Poisson (log),NA,NA,OK
mNSS,Everolimus vs Control,per_timepoint,Day7,efficacy,11,12,0.473755137614781,0.319100275028678,1.48465913284532,0.623,0.137634142583786,0.192517952920035,,Poisson (log),NA,NA,OK
mNSS,Everolimus vs Control,trajectory,slope_per_day,trajectory,14,14,0.0377023389092222,0.0428196577206256,0.880491365792995,0.963,0.378593180525036,NA,,Poisson (log),NA,NA,OK
