"assay","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","cluster","gene","pos_avgLFC"
"B Cells","C1QC",3.004575188288,10.4042459894592,7.03962758671519,6.8561804838947e-11,1.52337474171656e-06,5.97854909839136,6.52377003273394,"Unfavorable_B Cells","C1QC",0.571205125497807
"MONO","VMO1",2.9243070240638,7.20195342019345,9.70404677755966,4.85568060371204e-10,5.3944183666939e-06,12.7575178540025,6.22369905784131,"Unfavorable_MONO","VMO1",1.8854155634938
"NEUT","FAM89B",1.61945522772097,6.65759624910994,9.61507100233369,1.18998686708729e-09,6.64025321133298e-06,12.0670811722956,6.0815871072474,"Unfavorable_NEUT","FAM89B",1.16162055520184
"B Cells","PLEK",2.07766758140791,8.39628205221408,6.50553982448673,1.40061897195817e-09,6.64025321133298e-06,4.67284193357146,6.0554083547611,"Unfavorable_B Cells","PLEK",0.573568101072501
"B Cells","HSPA1A",2.44612138434166,12.2627046967731,6.36278382096301,1.78469895582387e-09,6.64025321133298e-06,4.69916377170137,6.01628078980506,"Unfavorable_B Cells","HSPA1A",0.685548323259206
"B Cells","APOC2",2.87415132992536,9.21861950756214,6.38503710424571,1.79312837067365e-09,6.64025321133298e-06,4.71640783486028,6.01551758317417,"Unfavorable_B Cells","APOC2",0.711436212153452
"MONO","RBM3",-1.77740054084056,8.44123472050715,-8.60040852398149,4.25827751667027e-09,1.3516381163271e-05,11.5343036050955,-5.87383479344086,"Favorable_MONO","RBM3",-0.940434819830337
"NEUT","RRAS",3.17191483084566,6.80963182860985,8.74792604168446,5.03567743402338e-09,1.39859646133207e-05,10.3950380586455,5.84598886094134,"Unfavorable_NEUT","RRAS",2.26519297048157
"B Cells","GSN",3.19614572240522,8.4390102720284,6.23740765863834,6.56611328408445e-09,1.557948503411e-05,4.39381002280439,5.8016611924075,"Unfavorable_B Cells","GSN",0.393130098034937
"NEUT","PPP1R14B",1.81753523134405,6.24102886642933,9.68303326496628,7.01178497417074e-09,1.557948503411e-05,11.112034112903,5.79064209266137,"Unfavorable_NEUT","PPP1R14B",1.38709259410051
"MONO","MXD4",1.80628474445233,5.36208546275974,8.0754664667526,8.31520323574197e-09,1.58281940169362e-05,10.1677043417896,5.76194107220686,"Unfavorable_MONO","MXD4",1.53131336064019
