"assay","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","pos_avgLFC","avg_LFC"
"Prolif_MKI67","UBE2M",3.51739959365599,6.19636286718254,16.5646872262691,8.21100205901108e-37,5.28207549103772e-32,11.14340601377,12.6742791725204,1.73465254562804,1.33434811202157
"Prolif_MKI67","PPP1R14B",3.21770650861717,7.44111800292698,13.397171609767,1.37595256158426e-36,5.28207549103772e-32,12.0149531562147,12.6337314675266,1.61031504888707,1.23870388375929
"Adapt_TMEM163","SPP1",-4.43113947371576,14.5871866146115,-11.2241650132924,2.45462991514686e-26,6.28197069984102e-22,5.50818852933727,-10.6181168144068,-0.786810165011163,-0.786810165011163
"Prolif_MKI67","AC007336.1",-2.40117567900987,5.30005929844156,-10.1344239532664,9.14998906950464e-21,1.75627177697339e-16,8.4082773299976,-9.3454496015913,-0.839229274874277,-0.645560980672521
"Prolif_MKI67","DUS1L",1.61024209326367,5.46085630507419,9.35962755649048,5.69820005507883e-19,8.74981411257575e-15,7.52467406326666,8.89776599432604,1.06863720984944,0.739825760664999
"Prolif_MKI67","APRT",1.9946063394277,7.82487271150435,8.74757349122544,1.35996386813443e-17,1.74023243172928e-13,6.74857709631319,8.53848215820559,0.291296939231187,0.26888948236725
"Adapt_TMEM163","NRIP1",2.42901665105494,6.57140252020196,8.82791477304477,1.27325979387223e-16,1.39652953134469e-12,3.69063828096499,8.2760524047916,0.605090922766175,0.605090922766175
"Prolif_MKI67","CDC26",1.35149661138632,6.1294277598741,8.55812973494361,1.85689301534621e-16,1.78208343799045e-12,6.49112715589138,8.23097914349492,0.0887194851351026,0.075070333575856
"Prolif_MKI67","NFKBID",-3.06201838004004,5.65778652101293,-8.75253479319026,2.49922357811625e-16,2.13203209618924e-12,6.74245223224004,-8.19532241124036,-0.416151775586841,-0.320116750451417
"Adapt_TMEM163","CD81",2.51819867916409,9.42209431245206,8.31463102742538,6.11273143799385e-16,4.58508217641427e-12,3.42752645953735,8.08704972725698,1.88285563317587,1.88285563317588
"Prolif_MKI67","MBD2",3.16622704668668,5.19853309857085,10.0148125832853,6.5691423135258e-16,4.58508217641427e-12,6.8530938596366,8.07827113057001,1.80333043677477,1.38717725905751
"Prolif_MKI67","FNIP1",-1.80170969597036,6.25418967932427,-8.26089671008299,1.17204004129291e-15,7.4988098541955e-12,6.08411358328427,-8.00735269171336,0.0613804194006736,0.0519372779544162
"Prolif_MKI67","CBR1",2.20568453263605,6.64158866557022,8.23200189957635,1.44966580270515e-15,8.56161471802258e-12,6.04691160237072,7.98115815063478,0.262625172807864,0.202019363698357
"Adapt_TMEM163","BOD1L1",3.74674830784627,7.21881764921561,9.1431079115516,1.67356817396672e-15,9.17796740661733e-12,1.87750063913214,7.96341364844242,1.79734150231982,1.52082742503985
"Prolif_MKI67","CXCL8",-3.43318780896668,7.02712049149589,-8.24161472557551,2.21977958295598e-15,1.13618678027074e-11,6.22368651810859,-7.92840523049396,-2.07237377995977,-1.43472030920292
"Prolif_MKI67","MERTK",2.28751065314709,6.66851067940432,8.38660876058011,2.55614068410704e-15,1.22658008314804e-11,6.35178087888905,7.91086136022785,0.19830316933434,0.167794989436749
"Prolif_MKI67","METTL7A",-2.65751775918741,6.60206099207327,-8.10759309448919,3.00820994358895e-15,1.27296487479323e-11,5.86832832393414,-7.89056520338624,0.293592403096978,0.271008372089519
