panel,trait,trait_label,group,n_cell,n_ctrl,assoc_mcz,assoc_mcp,assoc_mcp_reported,assoc_mcp_at_floor,significant_p05,hetero_mcz,hetero_mcp
Figure 2B,ich,Intracerebral hemorrhage (all),MTC_1,12448,100,-1.205183,0.8910891,0.8911,FALSE,FALSE,0.3863614,0.34653464
Figure 2B,ich,Intracerebral hemorrhage (all),MTC_2,14089,100,-1.1112688,0.8613861,0.8614,FALSE,FALSE,1.7794124,0.03960396
Figure 2B,ich,Intracerebral hemorrhage (all),MTC_3,10572,100,0.08655539,0.4950495,0.495,FALSE,FALSE,0.07727999,0.47524753
Figure 2B,ich,Intracerebral hemorrhage (all),MTC_4,9217,100,1.7970688,0.06930693,0.06931,FALSE,FALSE,0.305413,0.32673267
Figure 2B,ich,Intracerebral hemorrhage (all),MTC_5,7177,100,1.8160089,0.02970297,0.0297,FALSE,TRUE,-0.02983264,0.48514852
Figure 2B,ich,Intracerebral hemorrhage (all),MTC_6,23322,100,1.1260298,0.13861386,0.1386,FALSE,FALSE,0.018280163,0.42574257
Figure 2B,ich,Intracerebral hemorrhage (all),MTC_Prolif,655,100,0.22912098,0.35643566,0.3564,FALSE,FALSE,1.0532768,0.13861386
Figure 2B,ich_deep,"Intracerebral hemorrhage, deep (non-lobar)",MTC_1,12448,100,-3.338688,1.0,1,FALSE,FALSE,-0.07717425,0.5049505
Figure 2B,ich_deep,"Intracerebral hemorrhage, deep (non-lobar)",MTC_2,14089,100,-2.7598495,1.0,1,FALSE,FALSE,1.2840327,0.089108914
Figure 2B,ich_deep,"Intracerebral hemorrhage, deep (non-lobar)",MTC_3,10572,100,-1.261107,0.9009901,0.901,FALSE,FALSE,0.4482118,0.28712872
Figure 2B,ich_deep,"Intracerebral hemorrhage, deep (non-lobar)",MTC_4,9217,100,2.6495557,0.01980198,0.0198,FALSE,TRUE,2.3577962,0.01980198
Figure 2B,ich_deep,"Intracerebral hemorrhage, deep (non-lobar)",MTC_5,7177,100,3.7002099,0.00990099,<0.0099,TRUE,TRUE,0.49283624,0.28712872
Figure 2B,ich_deep,"Intracerebral hemorrhage, deep (non-lobar)",MTC_6,23322,100,3.4557898,0.00990099,<0.0099,TRUE,TRUE,2.1255887,0.02970297
Figure 2B,ich_deep,"Intracerebral hemorrhage, deep (non-lobar)",MTC_Prolif,655,100,-0.57922983,0.6930693,0.6931,FALSE,FALSE,0.90905035,0.16831683
Figure 2B,ich_lobar,"Intracerebral hemorrhage, lobar",MTC_1,12448,100,-0.9899603,0.8118812,0.8119,FALSE,FALSE,-0.3330511,0.57425743
Figure 2B,ich_lobar,"Intracerebral hemorrhage, lobar",MTC_2,14089,100,-0.60030156,0.7029703,0.703,FALSE,FALSE,0.22135256,0.37623763
Figure 2B,ich_lobar,"Intracerebral hemorrhage, lobar",MTC_3,10572,100,0.52420926,0.31683168,0.3168,FALSE,FALSE,-0.14620328,0.55445546
Figure 2B,ich_lobar,"Intracerebral hemorrhage, lobar",MTC_4,9217,100,2.4472523,0.03960396,0.0396,FALSE,TRUE,0.77766836,0.18811882
Figure 2B,ich_lobar,"Intracerebral hemorrhage, lobar",MTC_5,7177,100,2.0036106,0.03960396,0.0396,FALSE,TRUE,0.15132008,0.35643566
Figure 2B,ich_lobar,"Intracerebral hemorrhage, lobar",MTC_6,23322,100,0.03791899,0.4950495,0.495,FALSE,FALSE,1.2177143,0.12871288
Figure 2B,ich_lobar,"Intracerebral hemorrhage, lobar",MTC_Prolif,655,100,2.6570563,0.01980198,0.0198,FALSE,TRUE,-0.132921,0.55445546
Figure 2B,stroke,Ischemic stroke (all),MTC_1,12448,100,0.068509735,0.47524753,0.4752,FALSE,FALSE,-0.7651395,0.76237625
Figure 2B,stroke,Ischemic stroke (all),MTC_2,14089,100,-1.153305,0.9009901,0.901,FALSE,FALSE,-2.008397,0.990099
Figure 2B,stroke,Ischemic stroke (all),MTC_3,10572,100,-0.3693821,0.7029703,0.703,FALSE,FALSE,1.0670023,0.15841584
Figure 2B,stroke,Ischemic stroke (all),MTC_4,9217,100,1.8130177,0.04950495,0.0495,FALSE,TRUE,0.8370247,0.15841584
Figure 2B,stroke,Ischemic stroke (all),MTC_5,7177,100,1.6295054,0.04950495,0.0495,FALSE,TRUE,1.0996608,0.16831683
Figure 2B,stroke,Ischemic stroke (all),MTC_6,23322,100,0.32790715,0.28712872,0.2871,FALSE,FALSE,-0.56170154,0.7326733
Figure 2B,stroke,Ischemic stroke (all),MTC_Prolif,655,100,1.5055606,0.089108914,0.08911,FALSE,FALSE,0.62056667,0.22772278
Figure 2B,stroke_ce,"Ischemic stroke, cardioembolic",MTC_1,12448,100,-0.5661534,0.7326733,0.7327,FALSE,FALSE,0.59299356,0.26732674
Figure 2B,stroke_ce,"Ischemic stroke, cardioembolic",MTC_2,14089,100,-1.058813,0.8712871,0.8713,FALSE,FALSE,0.05627719,0.43564355
Figure 2B,stroke_ce,"Ischemic stroke, cardioembolic",MTC_3,10572,100,-0.7117458,0.75247526,0.7525,FALSE,FALSE,0.061406687,0.5148515
Figure 2B,stroke_ce,"Ischemic stroke, cardioembolic",MTC_4,9217,100,-0.20874721,0.55445546,0.5545,FALSE,FALSE,-0.48181087,0.6633663
Figure 2B,stroke_ce,"Ischemic stroke, cardioembolic",MTC_5,7177,100,1.2690698,0.12871288,0.1287,FALSE,FALSE,-1.7947211,0.990099
Figure 2B,stroke_ce,"Ischemic stroke, cardioembolic",MTC_6,23322,100,1.5748638,0.06930693,0.06931,FALSE,FALSE,-0.41679934,0.62376237
Figure 2B,stroke_ce,"Ischemic stroke, cardioembolic",MTC_Prolif,655,100,2.4230733,0.02970297,0.0297,FALSE,TRUE,0.49279103,0.27722773
Figure 2B,stroke_lvd,"Ischemic stroke, large-vessel disease",MTC_1,12448,100,-0.413769,0.63366336,0.6337,FALSE,FALSE,-1.1009638,0.8613861
Figure 2B,stroke_lvd,"Ischemic stroke, large-vessel disease",MTC_2,14089,100,-0.98647535,0.8613861,0.8614,FALSE,FALSE,0.050935734,0.44554454
Figure 2B,stroke_lvd,"Ischemic stroke, large-vessel disease",MTC_3,10572,100,-1.2641085,0.9009901,0.901,FALSE,FALSE,2.8197575,0.02970297
Figure 2B,stroke_lvd,"Ischemic stroke, large-vessel disease",MTC_4,9217,100,0.89531803,0.1980198,0.198,FALSE,FALSE,-0.9758144,0.8811881
Figure 2B,stroke_lvd,"Ischemic stroke, large-vessel disease",MTC_5,7177,100,0.92823297,0.14851485,0.1485,FALSE,FALSE,-0.2708113,0.57425743
Figure 2B,stroke_lvd,"Ischemic stroke, large-vessel disease",MTC_6,23322,100,1.5212897,0.07920792,0.07921,FALSE,FALSE,-0.6278902,0.6831683
Figure 2B,stroke_lvd,"Ischemic stroke, large-vessel disease",MTC_Prolif,655,100,-0.006321581,0.47524753,0.4752,FALSE,FALSE,1.0038007,0.16831683
Figure 2B,stroke_svd,"Ischemic stroke, small-vessel disease",MTC_1,12448,100,-1.8092349,0.96039605,0.9604,FALSE,FALSE,0.19949909,0.3960396
Figure 2B,stroke_svd,"Ischemic stroke, small-vessel disease",MTC_2,14089,100,-1.3146416,0.9108911,0.9109,FALSE,FALSE,-0.2917404,0.62376237
Figure 2B,stroke_svd,"Ischemic stroke, small-vessel disease",MTC_3,10572,100,-1.0332122,0.85148513,0.8515,FALSE,FALSE,0.39340675,0.32673267
Figure 2B,stroke_svd,"Ischemic stroke, small-vessel disease",MTC_4,9217,100,1.8009233,0.04950495,0.0495,FALSE,TRUE,0.2958605,0.33663365
Figure 2B,stroke_svd,"Ischemic stroke, small-vessel disease",MTC_5,7177,100,2.7387183,0.01980198,0.0198,FALSE,TRUE,0.34165367,0.3069307
Figure 2B,stroke_svd,"Ischemic stroke, small-vessel disease",MTC_6,23322,100,1.9122263,0.06930693,0.06931,FALSE,FALSE,0.07819392,0.38613862
Figure 2B,stroke_svd,"Ischemic stroke, small-vessel disease",MTC_Prolif,655,100,3.7366788,0.00990099,<0.0099,TRUE,TRUE,2.4319432,0.02970297
Supplementary Figure 3B,adhd_or_asd,ADHD or autism spectrum disorder,MTC_1,12448,100,0.54618084,0.27722773,0.2772,FALSE,FALSE,0.6509145,0.25742576
Supplementary Figure 3B,adhd_or_asd,ADHD or autism spectrum disorder,MTC_2,14089,100,0.59386134,0.27722773,0.2772,FALSE,FALSE,-0.072770886,0.5247525
Supplementary Figure 3B,adhd_or_asd,ADHD or autism spectrum disorder,MTC_3,10572,100,0.0064112605,0.47524753,0.4752,FALSE,FALSE,1.5272782,0.089108914
Supplementary Figure 3B,adhd_or_asd,ADHD or autism spectrum disorder,MTC_4,9217,100,-0.62714183,0.7326733,0.7327,FALSE,FALSE,-0.21058543,0.5940594
Supplementary Figure 3B,adhd_or_asd,ADHD or autism spectrum disorder,MTC_5,7177,100,-0.24760023,0.5346535,0.5347,FALSE,FALSE,-0.7961768,0.7821782
Supplementary Figure 3B,adhd_or_asd,ADHD or autism spectrum disorder,MTC_6,23322,100,0.3906078,0.36633664,0.3663,FALSE,FALSE,-0.2731559,0.55445546
Supplementary Figure 3B,adhd_or_asd,ADHD or autism spectrum disorder,MTC_Prolif,655,100,2.8280022,0.01980198,0.0198,FALSE,TRUE,-0.0907669,0.48514852
Supplementary Figure 3B,alz2,Alzheimer's disease (alternative GWAS),MTC_1,12448,100,-3.2263923,1.0,1,FALSE,FALSE,1.8704487,0.05940594
Supplementary Figure 3B,alz2,Alzheimer's disease (alternative GWAS),MTC_2,14089,100,-2.862679,0.990099,0.9901,FALSE,FALSE,2.9885013,0.02970297
Supplementary Figure 3B,alz2,Alzheimer's disease (alternative GWAS),MTC_3,10572,100,-1.2507551,0.9009901,0.901,FALSE,FALSE,3.8568423,0.00990099
Supplementary Figure 3B,alz2,Alzheimer's disease (alternative GWAS),MTC_4,9217,100,5.2397146,0.00990099,<0.0099,TRUE,TRUE,4.7396936,0.00990099
Supplementary Figure 3B,alz2,Alzheimer's disease (alternative GWAS),MTC_5,7177,100,4.4752765,0.00990099,<0.0099,TRUE,TRUE,1.9230742,0.05940594
Supplementary Figure 3B,alz2,Alzheimer's disease (alternative GWAS),MTC_6,23322,100,3.8955717,0.00990099,<0.0099,TRUE,TRUE,3.4199362,0.00990099
Supplementary Figure 3B,alz2,Alzheimer's disease (alternative GWAS),MTC_Prolif,655,100,1.5845757,0.05940594,0.05941,FALSE,FALSE,2.1058457,0.03960396
Supplementary Figure 3B,alz,Alzheimer's disease,MTC_1,12448,100,-0.8041243,0.7821782,0.7822,FALSE,FALSE,0.22159234,0.38613862
Supplementary Figure 3B,alz,Alzheimer's disease,MTC_2,14089,100,-0.3568843,0.6633663,0.6634,FALSE,FALSE,0.8422088,0.16831683
Supplementary Figure 3B,alz,Alzheimer's disease,MTC_3,10572,100,1.3979195,0.05940594,0.05941,FALSE,FALSE,1.9213866,0.04950495
Supplementary Figure 3B,alz,Alzheimer's disease,MTC_4,9217,100,2.07181,0.04950495,0.0495,FALSE,TRUE,0.5630841,0.27722773
Supplementary Figure 3B,alz,Alzheimer's disease,MTC_5,7177,100,1.3896505,0.0990099,0.09901,FALSE,FALSE,-0.75721854,0.77227724
Supplementary Figure 3B,alz,Alzheimer's disease,MTC_6,23322,100,0.26471072,0.36633664,0.3663,FALSE,FALSE,0.22811016,0.31683168
Supplementary Figure 3B,alz,Alzheimer's disease,MTC_Prolif,655,100,0.57834,0.3069307,0.3069,FALSE,FALSE,0.16434002,0.41584158
Supplementary Figure 3B,alz2noapoe,"Alzheimer's disease (alternative GWAS, APOE excluded)",MTC_1,12448,100,-1.8141223,0.96039605,0.9604,FALSE,FALSE,0.8220902,0.20792079
Supplementary Figure 3B,alz2noapoe,"Alzheimer's disease (alternative GWAS, APOE excluded)",MTC_2,14089,100,-1.7227478,0.980198,0.9802,FALSE,FALSE,2.4790483,0.02970297
Supplementary Figure 3B,alz2noapoe,"Alzheimer's disease (alternative GWAS, APOE excluded)",MTC_3,10572,100,-0.68683875,0.7326733,0.7327,FALSE,FALSE,1.526974,0.03960396
Supplementary Figure 3B,alz2noapoe,"Alzheimer's disease (alternative GWAS, APOE excluded)",MTC_4,9217,100,2.5960627,0.01980198,0.0198,FALSE,TRUE,0.7451044,0.1980198
Supplementary Figure 3B,alz2noapoe,"Alzheimer's disease (alternative GWAS, APOE excluded)",MTC_5,7177,100,2.5730693,0.01980198,0.0198,FALSE,TRUE,0.36683375,0.32673267
