"Cluster","cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"MTC_456","MTC_456","GO:0005504","fatty acid binding","4/30","48/18496",1.04103131769843e-06,0.000138457165253892,8.21866829761922e-05,"APOC1/FABP5/S100A9/S100A8",4
"MTC_456","MTC_456","GO:0033293","monocarboxylic acid binding","4/30","79/18496",7.763016725044e-06,0.000516240612215426,0.000306434870725421,"APOC1/FABP5/S100A9/S100A8",4
"MTC_456","MTC_456","GO:0050786","RAGE receptor binding","2/30","10/18496",0.000113525155159744,0.00503294854541534,0.00298750408315117,"S100A9/S100A8",2
"MTC_456","MTC_456","GO:0035325","Toll-like receptor binding","2/30","13/18496",0.000196182154433782,0.00566386723108868,0.00336201062391493,"S100A9/S100A8",2
"MTC_456","MTC_456","GO:0031406","carboxylic acid binding","4/30","195/18496",0.00026486545222801,0.00566386723108868,0.00336201062391493,"APOC1/FABP5/S100A9/S100A8",4
"MTC_456","MTC_456","GO:0043177","organic acid binding","4/30","207/18496",0.000332422939109519,0.00566386723108868,0.00336201062391493,"APOC1/FABP5/S100A9/S100A8",4
"MTC_456","MTC_456","GO:0030169","low-density lipoprotein particle binding","2/30","17/18496",0.000340683743223379,0.00566386723108868,0.00336201062391493,"MSR1/PLTP",2
"MTC_456","MTC_456","GO:0036041","long-chain fatty acid binding","2/30","17/18496",0.000340683743223379,0.00566386723108868,0.00336201062391493,"S100A9/S100A8",2
"MTC_456","MTC_456","GO:0005125","cytokine activity","4/30","237/18496",0.000554322658259343,0.00819165706094362,0.00486247945841529,"SPP1/TIMP1/MIF/CCL20",4
"MTC_456","MTC_456","GO:0005044","scavenger receptor activity","2/30","27/18496",0.000870444906437817,0.011576917255623,0.00687193347187751,"CD163/MSR1",2
"MTC_456","MTC_456","GO:0031210","phosphatidylcholine binding","2/30","30/18496",0.00107550063747662,0.0117501969897964,0.00697479045694285,"APOC1/PLTP",2
"MTC_456","MTC_456","GO:0071813","lipoprotein particle binding","2/30","31/18496",0.00114851549524326,0.0117501969897964,0.00697479045694285,"MSR1/PLTP",2
"MTC_456","MTC_456","GO:0071814","protein-lipid complex binding","2/30","31/18496",0.00114851549524326,0.0117501969897964,0.00697479045694285,"MSR1/PLTP",2
"MTC_456","MTC_456","GO:0050997","quaternary ammonium group binding","2/30","54/18496",0.00345359505174997,0.0317454895320639,0.0188437808856731,"APOC1/PLTP",2
"MTC_456","MTC_456","GO:0050840","extracellular matrix binding","2/30","55/18496",0.00358031836827789,0.0317454895320639,0.0188437808856731,"SPP1/LGALS1",2
"MTC_456","MTC_456","GO:0038024","cargo receptor activity","2/30","64/18496",0.00481679523016033,0.0400396103507077,0.0237670817277648,"CD163/MSR1",2
"MTC_456","MTC_456","GO:0097110","scaffold protein binding","2/30","68/18496",0.00542096763277531,0.0424110997152421,0.0251747722884302,"CD163/VIM",2
"MTC_456","MTC_456","GO:0061134","peptidase regulator activity","3/30","228/18496",0.00587162433321847,0.0433847797954476,0.0257527383035898,"TIMP1/CTSL/GAPDH",3
"MTC_123","MTC_123","GO:0045028","G protein-coupled purinergic nucleotide receptor activity","2/14","13/18496",4.13016144437433e-05,0.00213978266339034,0.0010206200203671,"P2RY13/P2RY12",2
"MTC_123","MTC_123","GO:0001614","purinergic nucleotide receptor activity","2/14","20/18496",0.000100302312346422,0.00213978266339034,0.0010206200203671,"P2RY13/P2RY12",2
"MTC_123","MTC_123","GO:0016502","nucleotide receptor activity","2/14","20/18496",0.000100302312346422,0.00213978266339034,0.0010206200203671,"P2RY13/P2RY12",2
"MTC_123","MTC_123","GO:0001618","virus receptor activity","2/14","79/18496",0.00158551330983167,0.0208059496905136,0.00992389047738313,"SELPLG/HSPA1B",2
"MTC_123","MTC_123","GO:0140272","exogenous protein binding","2/14","80/18496",0.00162546481957137,0.0208059496905136,0.00992389047738313,"SELPLG/HSPA1B",2
"MTC_123","MTC_123","GO:0004896","cytokine receptor activity","2/14","96/18496",0.00232944506175897,0.0248474139920957,0.0118515625949141,"CX3CR1/IL6ST",2
"MTC_123","MTC_123","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","3/14","471/18496",0.0048447331370457,0.0343194977329934,0.0163694972739607,"MAF/JUN/FOSB",3
"MTC_123","MTC_123","GO:0001216","DNA-binding transcription activator activity","3/14","475/18496",0.00496057214656928,0.0343194977329934,0.0163694972739607,"MAF/JUN/FOSB",3
"MTC_123","MTC_123","GO:0019955","cytokine binding","2/14","145/18496",0.00522151206891138,0.0343194977329934,0.0163694972739607,"CX3CR1/IL6ST",2
"MTC_123","MTC_123","GO:0140375","immune receptor activity","2/14","147/18496",0.00536242152078022,0.0343194977329934,0.0163694972739607,"CX3CR1/IL6ST",2
