"gene","TF_symbol","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","log2FC","standardized_diff_MTC456_minus_MTC123","OddsRatio","FDR","Significance","pct_in_dorothea","pct_in_collectri","Corroborated"
"AR","AR",0,0.021021463679288,0.998,0.977,0,"MTC_456",0.021021463679288,1.27975334979468,0.200811548274311,1.11960123846005e-06,"Significant",0,4,"Corroborated"
"ARID3A","ARID3A",0,0.0347759371740408,1,1,0,"MTC_123",-0.0347759371740408,-1.31211191449288,1.06818862606064,1,"NS",0,0,"Novel"
"ATF1","ATF1",0,0.0134508020486533,0.816,0.393,0,"MTC_456",0.0134508020486533,0.964625091949468,0.556350945386521,0.153873592285139,"NS",0,0,"Novel"
"ATF3","ATF3",2.69005457903244e-126,0.00931964798904819,1,1,6.32162826072622e-124,"MTC_123",-0.00931964798904819,-0.242650348855334,1.11412081462446,0.672411303919072,"NS",0.480769230769231,3.84615384615385,"Corroborated"
"ATF4","ATF4",0,0.0207139278578177,1,1,0,"MTC_123",-0.0207139278578177,-0.512470526014073,1.15818066246275,0.624631577425774,"NS",1.11524163568773,3.71747211895911,"Corroborated"
"ATF5","ATF5",0,0.0445527824326567,1,1,0,"MTC_456",0.0445527824326567,1.68608856430652,0.949572104163544,0.851335054370117,"NS",0,0,"Novel"
"BACH1","BACH1",0,0.018163821718983,1,1,0,"MTC_123",-0.018163821718983,-1.16920242089131,1.2972210951207,0.0825687933614441,"NS",0.48780487804878,0,"Corroborated"
"BCL6","BCL6",8.61954510332137e-208,0.00597810148551185,1,1,2.02559309928052e-205,"MTC_123",-0.00597810148551185,-0.250159767924119,0.831130790498394,0.312062565797117,"NS",0.552486187845304,1.65745856353591,"Corroborated"
"BCLAF1","BCLAF1",0,0.0489439613264045,0.999,0.939,0,"MTC_123",-0.0489439613264045,-1.01645982716178,8.20959170423597,0.0266463035307698,"Significant",0,0,"Novel"
"BHLHE41","BHLHE41",0,0.0548842725169017,1,1,0,"MTC_123",-0.0548842725169017,-1.38487961901632,1.95735091724749,0.0146408372109769,"Significant",0,0,"Novel"
"BPTF","BPTF",0,0.087864554884263,0.981,0.767,0,"MTC_123",-0.087864554884263,-1.10864636464639,8.20959170423597,0.248067377187558,"NS",0,0,"Novel"
"CEBPA","CEBPA",0,0.0304501108907397,1,1,0,"MTC_123",-0.0304501108907397,-1.61877727895905,2.16797655091105,0.000310982059358754,"Significant",7.18562874251497,1.19760479041916,"Corroborated"
"CEBPB","CEBPB",8.58538799635138e-129,0.00710824449991278,1,1,2.01756617914257e-126,"MTC_123",-0.00710824449991278,-0.244073110823986,0.88349205662686,0.679303549380551,"NS",0.510204081632653,5.10204081632653,"Corroborated"
"CEBPD","CEBPD",0,0.110879194440477,1,1,0,"MTC_123",-0.110879194440477,-0.701441597431768,1.6419507286352,0.836702616092156,"NS",0,4.76190476190476,"Corroborated"
"CEBPG","CEBPG",3.53063730175966e-189,0.00129933845940891,0.567,0.413,8.2969976591352e-187,"MTC_123",-0.00129933845940891,-0.331709140402568,0.374097799483372,0.00041102378926004,"Significant",0,1.16279069767442,"Corroborated"
"CHD1","CHD1",0,0.0223164637025531,1,1,0,"MTC_123",-0.0223164637025531,-1.26643003250811,1.67823808413036,3.01529814368446e-05,"Significant",0,0,"Novel"
"DBP","DBP",0,0.0577797660788091,0.998,0.619,0,"MTC_123",-0.0577797660788091,-1.50501428901558,0.76172426597282,0.514047264064783,"NS",0,0,"Novel"
"DDIT3","DDIT3",2.003627874894e-14,0.00932621694799426,0.996,0.97,4.70852550600091e-12,"MTC_456",0.00932621694799426,0.0895655627671645,0.906605421845942,0.851335054370117,"NS",0,16,"Corroborated"
"E2F1","E2F1",2.65319976273894e-143,0.00154385440161934,1,1,6.23501944243651e-141,"MTC_456",0.00154385440161934,0.272372928804092,0.370571043506532,2.16761963370019e-16,"Significant",15.1724137931034,11.9540229885057,"Corroborated"
"E2F2","E2F2",8.15479127398351e-77,0.00121489386407529,1,1,1.91637594938612e-74,"MTC_456",0.00121489386407529,0.184370594171726,0.316389439596703,3.4039999416952e-16,"Significant",3.01003344481605,7.35785953177258,"Corroborated"
