"TF_symbol","out_strength","betweenness","log2FC","p_val_adj"
"MAF",31228.1677240651,163973,-0.0290113012571851,0
"JUNB",13853.7129656358,67570,-0.0321048088758853,0
"KLF2",13372.8781144832,148956,-0.03991798866909,0
"JUND",12803.090291699,163602,-0.0376092896946767,0
"FOS",12252.8484840223,325253,-0.114488330944402,0
"FOSL2",10194.6985564507,62415,0.0197995061362715,0
"BACH1",9746.11886080899,41322,-0.018163821718983,0
"NFIA",9457.77400231846,79454,-0.029466536945274,0
"ATF3",9284.10135831024,150945,-0.00931964798904819,6.32162826072622e-124
"EGR3",8810.67777002771,209545,-0.0380792287166271,0
"JUN",8468.50765192139,55890,-0.111469060831378,0
"BHLHE41",8232.54696504766,229078,-0.0548842725169017,0
"EGR1",8084.92662361426,8866,-0.0312646451830971,0
"EGR2",7937.54097174764,14248,-0.0288900624428783,0
"MAFB",7652.78012578143,36270,0.0542516994870869,0
"STAT1",7600.72488351307,38413,0.0215444717495478,0
"E2F8",6447.56688575877,17368,0.00150832470698996,1.55424104878448e-125
"IKZF1",6020.43692425259,24799,-0.0244492080487805,0
"KLF4",5885.04514583986,27284,-0.0349472489326497,0
"IRF7",5833.93190919955,50115,0.0134683285319594,0
"KLF6",5422.59545299001,185310,-0.0567148588314307,0
"CEBPB",5288.20356562871,63563,-0.00710824449991278,2.01756617914257e-126
"CHD1",4792.32140786534,60123,-0.0223164637025531,0
"E2F1",4745.00657348942,43577,0.00154385440161934,6.23501944243651e-141
"PURA",4547.43822515659,13806,-0.0231365595962069,0
"MAFF",4332.73090985569,78146,0.00454258950501096,1
"CEBPA",3783.54396171732,68804,-0.0304501108907397,0
"CEBPD",3457.24819164235,111859,-0.110879194440477,0
"IRF9",3428.13092082688,31923,-0.0143381752621367,0
"IRF1",3116.61420831699,54306,-0.0019322784944381,0.0144221439438228
"PPARG",3054.54721610606,8522,0.0640151302278838,0
"E2F2",2941.39573031369,62370,0.00121489386407529,1.91637594938612e-74
"E2F7",2877.71126317789,4157,-0.00341063759262865,0
"MBD2",2782.03995778678,7354,0.00660771345716085,0
"MYBL2",2539.78658611908,3314,0.00434506692569206,0
"ATF4",2469.16723215823,4176,-0.0207139278578177,0
"EP300",2399.83143941069,4119,-0.0241515616904065,0
"NFIC",2188.86262554713,44396,-0.00745430730234199,9.00570190388203e-267
"FOXO3",2124.86328067852,59371,-0.0252432175508173,0
"HES1",1888.47733400342,10583,-0.0165099323334181,0
"USF2",1878.30967055435,8152,-0.0201850595278025,0
"SPI1",1758.75129825019,9878,0.112659895671664,0
"BCL6",1704.1541794267,2533,-0.00597810148551185,2.02559309928052e-205
"FOSB",1678.05548382932,54739,-0.278961594615227,0
"PLAG1",1669.18334895921,55193,-0.0222208948803992,0
"ZBTB37",1605.28727229447,6996,-0.0201971329816218,0
"ZNF148",1458.65107323597,1749,-0.0176324112953285,0
