"Cytokine","Enrichment Score","pval","padj"
"IL-1β","0.037809114","1.2112276288e-06","0.0001041656"
"TNF-α","0.03431699","4.4866569547e-06","0.0001929262"
"GM-CSF","0.033393644","1.2424595354e-05","0.0003561717"
"IL-36α","0.0329096974","2.1350824571e-05","0.0004094459"
"IFN-γ","0.0322585911","2.3804995368e-05","0.0004094459"
"G-CSF","0.0310051685","3.4314222672e-05","0.0004918372"
"M-CSF","0.0309782944","5.4542621873e-05","0.0006700951"
"IL-18","0.0289884529","0.0001530725","0.0015975908"
"IL-12","0.0274894385","0.0001671897","0.0015975908"
"IL-1α","0.0255709637","0.0018298529","0.0112405248"
"TL1A","0.0239331874","0.0017848766","0.0112405248"
"IL-17A","0.0238687856","0.0013996124","0.0100305557"
"RANKL","0.0234162463","0.0013644804","0.0100305557"
"IL-4","0.0230517997","0.0010552636","0.0090752667"
"IL-3","0.0226262555","0.0023787427","0.0136381251"
"CD40L","0.0221922106","0.0025789564","0.0138618905"
"IL-15","0.0215462778","0.0055708811","0.0281821041"
"SCF","0.0193972613","0.0080526264","0.03644873"
"IL-2","0.0191611367","0.0145993836","0.0570703177"
"IL-27","0.0185600522","0.0101926721","0.04382849"
"4-1BBL","0.0183946653","0.0111660332","0.0457275645"
"NP","0.0176020825","0.0169213309","0.0632710633"
"OSM","0.0161992673","0.0257745176","0.0923586879"
"IL-13","0.0152167532","0.0397717461","0.1368148065"
"HGF","0.0148265079","0.0552584417","0.17600837"
"IL-23","0.014442494","0.0429343896","0.1420137504"
"IL-21","0.0130469364","0.0750745198","0.2082712486"
"IL-11","0.0130262016","0.0685238378","0.1964350018"
"LIF","0.0130210431","0.0685238378","0.1964350018"
"IFN-β","0.0128057639","0.0674180991","0.1964350018"
"IL-10","0.0123967606","0.1276454181","0.3049307209"
"IL-33","0.0123322579","0.1060290889","0.2849531765"
"VEGF","0.011690926","0.1181591373","0.2960297475"
"TWEAK","0.0108024788","0.1204772228","0.2960297475"
"LT-α1/β2","0.0106580952","0.1716014592","0.3624794527"
"IL-9","0.0105520678","0.113071411","0.2946709499"
"IL-17D","0.0105349067","0.1357807163","0.3072932"
"EGF","0.0098812129","0.2250753119","0.4207929745"
"FGF-β","0.0098205917","0.177024849","0.3624794527"
"IFN-α1","0.0091478219","0.1746851048","0.3624794527"
"IL-20","0.0089008687","0.2364835649","0.4327146081"
"IL-17B","0.008827066","0.2241426809","0.4207929745"
"IL-5","0.0084068934","0.2060672114","0.4062046143"
"BAFF","0.0077008766","0.2472949798","0.4430701721"
"IL-30","0.0068848612","0.3387758796","0.5602831854"
"GITRL","0.0058480651","0.309997117","0.5331950413"
"IL-17F","0.0054716115","0.391772249","0.6239335818"
"GDNF","0.0047397622","0.5782990636","0.7770893667"
"IL-31","0.004713451","0.551866737","0.753341895"
"CT-1","0.0046282269","0.4628034777","0.7107339122"
"LT-α2/β1","0.0043377642","0.4808614582","0.7130014725"
"TRAIL","0.0042421907","0.5900474643","0.7806781835"
"IL-7","0.0042261463","0.5372639499","0.7452370919"
"LIGHT","0.0037686869","0.4946528493","0.7210194074"
"TGF-β1","0.0036108014","0.5276378111","0.7438828156"
"FLT3L","0.003556473","0.6627315903","0.8260132865"
"IGF-1","0.0030248006","0.6121525774","0.7976533585"
"TSLP","0.0026078423","0.6468551558","0.8180815206"
"IL-17E","0.0022543448","0.7553961567","0.9022787427"
"IL-6","0.0021332043","0.7160871386","0.8673731538"
"IL-34","0.0013808397","0.7057994021","0.8671249798"
"CD27L","-0.0001010677","0.9405939534","0.9864765853"
"Noggin","-0.0001550411","0.9795320516","0.9892778403"
"IL-36Ra","-0.0002913276","0.9405939534","0.9864765853"
"IFN-κ","-0.0003659421","0.87477312","0.9770193289"
"ADSF","-0.0004528564","0.930877938","0.9864765853"
"CD30L","-0.0004997981","0.87477312","0.9770193289"
"PSPN","-0.000599546","0.9795320516","0.9892778403"
"IL-1Ra","-0.0007880525","0.9892778403","0.9892778403"
"OX40L","-0.0008569558","0.9192324294","0.9864765853"
"IL-22","-0.0011282285","0.9892778403","0.9892778403"
"TPO","-0.00116931","0.8135979349","0.9372765001"
"IL-24","-0.0012703084","0.9192324294","0.9864765853"
"Leptin","-0.0025543431","0.8173922966","0.9372765001"
"IL-Y","-0.0025893685","0.7796554828","0.91849824"
"FasL","-0.0038292427","0.6259351579","0.8034391579"
"IFN-λ2","-0.0046383811","0.5244487532","0.7438828156"
"IL-17C","-0.0062255556","0.4732910246","0.7130014725"
"IFN-ε","-0.0071347844","0.4165467705","0.6513276776"
"C5a","-0.0072423037","0.33631413","0.5602831854"
"IL-19","-0.0080593942","0.2962315771","0.5199166456"
"C3a","-0.0086406267","0.3563307607","0.5781970834"
"Decorin","-0.0093377012","0.2078256166","0.4062046143"
"AdipoQ","-0.0098455086","0.161860927","0.3569240954"
"APRIL","-0.0124788953","0.1357807163","0.3072932"
"PRL","-0.0213398993","0.0060935582","0.0291136669"
