"CellType","PanelType","coef","Estimate","se","pvalue","p_BH_interaction_family","p_BH_window_family","Cutoff"
"Ameboid","distance_trend (panel D)","(Intercept)",-0.280066162944925,0.167754893194863,0.0950190755016872,NA,NA,NA
"Ameboid","distance_trend (panel D)","dist",-0.000909078546526959,2.24358028599485e-05,0,NA,NA,NA
"Ameboid","distance_trend (panel D)","TreatmentEV",0.361907806830769,0.237317241314396,0.127260134141829,NA,NA,NA
"Ameboid","distance_trend (panel D)","TreatmentRA",0.290865333524199,0.237792462540784,0.221257987315328,NA,NA,NA
"Ameboid","distance_trend (panel D)","dist:TreatmentEV",-0.000323637650993458,3.12862112892725e-05,4.43602844647113e-25,3.5488227571769e-24,NA,NA
"Ameboid","distance_trend (panel D)","dist:TreatmentRA",-0.000269603813237311,3.25925723639897e-05,1.31796284139585e-16,5.2718513655834e-16,NA,NA
"Hypertrophic","distance_trend (panel D)","(Intercept)",-1.07425577021935,0.0712664809445171,2.40898807194888e-51,NA,NA,NA
"Hypertrophic","distance_trend (panel D)","dist",0.000407245411373633,2.11277167085132e-05,8.64121828839045e-83,NA,NA,NA
"Hypertrophic","distance_trend (panel D)","TreatmentEV",-0.249009936631924,0.100853501275308,0.0135481300012011,NA,NA,NA
"Hypertrophic","distance_trend (panel D)","TreatmentRA",-0.241037686260427,0.1013321713027,0.0173743438493702,NA,NA,NA
"Hypertrophic","distance_trend (panel D)","dist:TreatmentEV",0.000192008200622753,2.99813695264186e-05,1.5110984441561e-10,3.02219688831219e-10,NA,NA
"Hypertrophic","distance_trend (panel D)","dist:TreatmentRA",0.000155062408429838,3.09985554871494e-05,5.66661382768425e-07,6.476130088782e-07,NA,NA
"Ramified","distance_trend (panel D)","(Intercept)",-3.07891188909996,0.186371517032868,2.62125771347858e-61,NA,NA,NA
"Ramified","distance_trend (panel D)","dist",0.00113392394807698,3.29187189534741e-05,5.13774272151243e-260,NA,NA,NA
"Ramified","distance_trend (panel D)","TreatmentEV",-0.181860405209153,0.264679517238024,0.492021835633578,NA,NA,NA
"Ramified","distance_trend (panel D)","TreatmentRA",-0.545153056299884,0.267593454262379,0.0416256350537338,NA,NA,NA
"Ramified","distance_trend (panel D)","dist:TreatmentEV",0.000134559475240025,4.74625323645347e-05,0.00458160275806183,0.00458160275806183,NA,NA
"Ramified","distance_trend (panel D)","dist:TreatmentRA",0.000297100427316593,5.13196210719743e-05,7.07152541592201e-09,1.13144406654752e-08,NA,NA
"Rod-like","distance_trend (panel D)","(Intercept)",-0.908403471832628,0.0702019824239601,2.68135164137033e-38,NA,NA,NA
"Rod-like","distance_trend (panel D)","dist",-7.10002404082281e-05,2.16959051283662e-05,0.00106594078918106,NA,NA,NA
"Rod-like","distance_trend (panel D)","TreatmentEV",-0.185573916680285,0.0993279951210255,0.0617210753387439,NA,NA,NA
"Rod-like","distance_trend (panel D)","TreatmentRA",0.0194540898780769,0.0999509418294599,0.845677617563533,NA,NA,NA
"Rod-like","distance_trend (panel D)","dist:TreatmentEV",0.000213223400669122,3.04860623315807e-05,2.6691513315206e-12,7.11773688405492e-12,NA,NA
"Rod-like","distance_trend (panel D)","dist:TreatmentRA",0.000166039489618162,3.09698401381744e-05,8.2612085356699e-08,1.10149447142265e-07,NA,NA
"Ameboid","windowed_boxplot (panel E)","TreatmentEV",0.332165070584968,0.234092057243994,0.155913411879284,NA,0.333791534200582,500
"Ameboid","windowed_boxplot (panel E)","TreatmentRA",0.274252455411533,0.235223864984415,0.243646367754635,NA,0.449808678931633,500
"Hypertrophic","windowed_boxplot (panel E)","TreatmentEV",-0.245949411157347,0.158767252816232,0.121353050817781,NA,0.333791534200582,500
"Hypertrophic","windowed_boxplot (panel E)","TreatmentRA",-0.240898885512908,0.159742159826404,0.131542176999293,NA,0.333791534200582,500
"Ramified","windowed_boxplot (panel E)","TreatmentEV",-0.359678898371478,0.351724793269203,0.306490117766079,NA,0.459735176649118,500
"Ramified","windowed_boxplot (panel E)","TreatmentRA",-0.58116357566641,0.355709017253246,0.10229720123153,NA,0.333791534200582,500
"Rod-like","windowed_boxplot (panel E)","TreatmentEV",-0.169905234029387,0.117566817382724,0.148407282721385,NA,0.333791534200582,500
"Rod-like","windowed_boxplot (panel E)","TreatmentRA",-0.0073648125141544,0.118259838945826,0.950342617821414,NA,0.950342617821414,500
"Ameboid","windowed_boxplot (panel E)","TreatmentEV",0.252162446528153,0.225724049068636,0.26393999582254,NA,0.452468564267212,1000
